log_height,width,added_bits,iteration,seconds
17,16,2,8,0.001164349
17,16,2,9,0.001153664
18,2,2,0,0.000538069
18,2,2,1,0.000497696
18,2,2,2,0.000466557
18,2,2,3,0.000496216
18,2,2,4,0.000463492
18,2,2,5,0.000483848
18,2,2,6,0.000465425
18,2,2,7,0.000474465
18,2,2,8,0.000470380
18,2,2,9,0.000470836
19,2,2,0,0.002051521
19,2,2,1,0.000757690
19,2,2,2,0.000745706
19,2,2,3,0.000714774
19,2,2,4,0.000712490
19,2,2,5,0.000721009
19,2,2,6,0.000715260
19,2,2,7,0.000736583
19,2,2,8,0.000717697
19,2,2,9,0.000720875
19,49,2,0,0.012889667
19,49,2,1,0.013929680
19,49,2,2,0.013992015
19,49,2,3,0.013894199
19,49,2,4,0.013972606
19,49,2,5,0.013913311
19,49,2,6,0.013982951
19,49,2,7,0.013879341
19,49,2,8,0.013958690
19,49,2,9,0.013932775
