=== Circuit Statistics ===
Circuits: 185
Total width: 15763
Total FFT cost: 147111354325 (1.47e11)
Total cache hits: 72393508
Total saved cost: 63.21%
--------------------------------------------------------------------------------------------
Name                             Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
--------------------------------------------------------------------------------------------
k_shape_02                          60  40   2   1   20742   431024   9.00e7   0.06%  99.47%
k_shape_10                          77  40   6   5   15648    24001   8.45e7   0.06%  99.52%
k_shape_46                         109  27  23  15   10653   154621   7.81e7   0.05%  99.58%
k_shape_84                         259  19 151   9    4888     1019   7.77e7   0.05%  99.63%
k_shape_25                          60  27  12   6   17832    69188   7.62e7   0.05%  99.68%
k_shape_64                         104  20  39  16    9431        0   6.51e7   0.04%  99.73%
k_shape_41                          92  25  20  15   10337      690   6.38e7   0.04%  99.77%
memory[32]                          41   0   0   0   20282    85992   6.02e7   0.04%  99.81%
k_infer_only                        93  12  45  15    7639    13614   4.61e7   0.03%  99.84%
k_shape_34                          75  32  16   8    7402    18679   3.59e7   0.02%  99.87%
blake3_compress_layer              223   3 170   6    2064        0   2.54e7   0.02%  99.88%
k_shape_20                          56  26  10   6    6883    22590   2.48e7   0.02%  99.90%
k_shape_28                          71  38  13   7    3791  1286345   1.61e7   0.01%  99.91%
k_shape_23                          66  38  11   5    4008     6626   1.60e7   0.01%  99.92%
k_shape_57                          88   6  33   6    2104       44   1.03e7   0.01%  99.93%
k_shape_72                         109  17  58   8    1621    15636   9.48e6   0.01%  99.93%
k_shape_29                          74  26  13  12    2192  9659888   9.08e6   0.01%  99.94%
load_verified_constant             100   1  88   5    1621     2066   8.70e6   0.01%  99.95%
k_shape_55                          95  17  31  20    1566       73   7.95e6   0.01%  99.95%
blake3                              86   1  72   8    1707      114   7.94e6   0.01%  99.96%
memory[34]                          43   0   0   0    2815     7298   7.04e6   0.00%  99.96%
k_shape_50                          90  24  26  16    1385      530   6.55e6   0.00%  99.97%
k_shape_74                         173  29  60  37     724   254254   5.98e6   0.00%  99.97%
get_constant_info_by_variant        64   8  46   2    1542        0   5.28e6   0.00%  99.97%
k_shape_56                         105  19  32  22     693      456   3.46e6   0.00%  99.98%
k_shape_18                          56   9   9   9    1012      164   2.87e6   0.00%  99.98%
k_shape_48                         105  24  24  20     538      801   2.58e6   0.00%  99.98%
k_shape_53                         115  17  30  26     479        5   2.47e6   0.00%  99.98%
k_shape_78                         171  11  75  40     307       15   2.18e6   0.00%  99.98%
k_shape_15                          69  38   8   5     638      336   2.07e6   0.00%  99.99%
k_shape_44                          86  27  22  15     524        0   2.05e6   0.00%  99.99%
k_shape_04                          54  40   2   2     697    52574   1.80e6   0.00%  99.99%
memory[12]                          21   0   0   0    1548   416435   1.78e6   0.00%  99.99%
k_is_def_eq_struct_go               58  26  13   6     625        0   1.71e6   0.00%  99.99%
nl_subsume_entry                   121  13  54  24     297       59   1.49e6   0.00%  99.99%
k_shape_67                          80   7  48   6     400       12   1.40e6   0.00%  99.99%
k_shape_77                         145  16  71  11     237        0   1.36e6   0.00%  99.99%
k_shape_70                          80  11  51   5     313       80   1.05e6   0.00%  99.99%
k_shape_83                         153  11 110   9     158     9601   8.88e5   0.00%  99.99%
k_shape_58                          67  11  34   7     303     6273   8.48e5   0.00%  99.99%
k_shape_71                          99  15  53   7     192       78   7.28e5   0.00% 100.00%
k_shape_73                         112  14  59   8     146       12   5.93e5   0.00% 100.00%
k_shape_69                          82  15  50   4     183      181   5.70e5   0.00% 100.00%
k_shape_05                          96  40   2   2     139    13000   4.80e5   0.00% 100.00%
k_shape_65                          88  13  42   8     149       29   4.79e5   0.00% 100.00%
k_shape_61                          82   8  35  15     145        4   4.32e5   0.00% 100.00%
k_shape_40                          67  16  20   5     157      143   3.89e5   0.00% 100.00%
ctor_at                             86   2  72   3     117        2   3.50e5   0.00% 100.00%
k_shape_63                          86  12  39   6      95       78   2.72e5   0.00% 100.00%
put_address                        106   1  65  34      79       35   2.67e5   0.00% 100.00%
muts_member_at                     108   2  94   3      77      177   2.63e5   0.00% 100.00%
k_shape_66                         144  22  44  35      51       14   2.10e5   0.00% 100.00%
k_shape_27                          58  22  13   5      99     2565   1.94e5   0.00% 100.00%
const_idxs_ctors                    57   2  40   5      95       76   1.81e5   0.00% 100.00%
get_inductive                       67   1  51   9      79        0   1.70e5   0.00% 100.00%
compare_rules                       89   4  40  16      61        0   1.63e5   0.00% 100.00%
k_shape_38                          60   8  19   7      79        0   1.52e5   0.00% 100.00%
memory[10]                          19   0   0   0     195   108527   1.48e5   0.00% 100.00%
memory[36]                          45   0   0   0      95      375   1.44e5   0.00% 100.00%
memory[47]                          56   0   0   0      78     1009   1.40e5   0.00% 100.00%
k_shape_42                          45   2  21   4      90        0   1.35e5   0.00% 100.00%
load_verified_blob                  46   1  36   3      85      739   1.28e5   0.00% 100.00%
Bytes1                              11   0   0   0     256        0   1.22e5   0.00% 100.00%
memory[8]                           17   0   0   0     151    44897   9.83e4   0.00% 100.00%
build_flat_block                   159   7 121  12      26        0   9.81e4   0.00% 100.00%
check_recursor_canonical_full      125   9  50  18      26        0   7.73e4   0.00% 100.00%
k_shape_21                          71  37  10   7      36      172   6.74e4   0.00% 100.00%
build_minor_at_depth                65   1  25  21      35        0   5.96e4   0.00% 100.00%
k_shape_33                          60   4  15  12      37        0   5.92e4   0.00% 100.00%
klimbs_mul_single                   86   3  47   7      28        0   5.89e4   0.00% 100.00%
u64_mul                            222   1 155  46      13        0   5.39e4   0.00% 100.00%
k_shape_49                          85   5  25   8      23      316   4.50e4   0.00% 100.00%
build_succ_offset                   57   2  17  16      30        0   4.30e4   0.00% 100.00%
nlvars_subsume                     111   6  49  25      17        3   3.92e4   0.00% 100.00%
memory[9]                           18   0   0   0      46      304   2.45e4   0.00% 100.00%
memory[11]                          20   0   0   0      36      122   1.99e4   0.00% 100.00%
memory[5]                           14   0   0   0      36    17400   1.43e4   0.00% 100.00%
memory[6]                           15   0   0   0      27      337   1.06e4   0.00% 100.00%
u64_byte_count                     150 128   8   1       4      237   6.14e3   0.00% 100.00%
k_shape_01                          38  26   1   2       6     1338   3.16e3   0.00% 100.00%
memory[2]                           11   0   0   0      12       96   2.80e3   0.00% 100.00%
k_shape_62                         149  17  37  23       2        0   1.56e3   0.00% 100.00%
k_shape_54                          58   9  31   6       2        0   6.52e2   0.00% 100.00%
verify_claim                        40   1   1   2       1        0   2.16e2   0.00% 100.00%
