=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 135187270227 (1.35e11)
Total cache hits: 72393508
Total saved cost: 57.23%
----------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
----------------------------------------------------------------------------------------------------------------------------------------------
ctx_seek_cut                                                                          44   2  16  10   28518     2605   9.39e7   0.07%  98.53%
try_match_nat_add                                                                     47   6  17   9   24711        0   8.56e7   0.06%  98.60%
try_eta_struct                                                                        91   8  48  14   12585     1295   7.84e7   0.06%  98.65%
expr_glb_binder                                                                       16   1   4   4   56426      179   7.33e7   0.05%  98.71%
expr_inst_levels_walk                                                                 36   9   9   6   26401        0   7.08e7   0.05%  98.76%
get_lam_telescope                                                                     42   2  15   6   22282        1   6.84e7   0.05%  98.81%
pad_block                                                                             18   2   4   3   46924      203   6.72e7   0.05%  98.86%
try_extract_nat                                                                       30   6   9   5   28819    38736   6.51e7   0.05%  98.91%
collect_spine_of_ctor                                                                 45   3  23   7   18694    48214   6.04e7   0.04%  98.95%
memory[32]                                                                            41   0   0   0   20282    85992   6.02e7   0.04%  99.00%
nat_lit_to_ctor_or_self                                                               43   4  14  10   18695    48216   5.77e7   0.04%  99.04%
try_extract_nat_app                                                                   33   4  11   6   22971        0   5.57e7   0.04%  99.08%
k_is_def_eq_ordered                                                                   19   2   4   3   36613      563   5.40e7   0.04%  99.12%
k_is_def_eq_slow_nd                                                                   32   4   9   6   22695        0   5.34e7   0.04%  99.16%
try_struct_eta_iota                                                                   93   9  39  16    8529        0   5.21e7   0.04%  99.20%
k_is_def_eq_struct_safe                                                               40   9  12   6   17527       45   5.00e7   0.04%  99.24%
whnf_nd_apply_beta                                                                    34   3  10   7   20065        0   4.95e7   0.04%  99.27%
get_address_list                                                                      42   2  15   6   15776     1546   4.68e7   0.03%  99.31%
k_infer_only                                                                          93  12  45  15    7639    13614   4.61e7   0.03%  99.34%
