=== Circuit Statistics ===
Circuits: 185
Total width: 15763
Total FFT cost: 56219185748 (5.62e10)
Total cache hits: 22638136
Total saved cost: 56.54%
-------------------------------------------------------------------------------------------
Name                             Width Sel Aux Lkp  Height    Hits FFT cost       %     %++
-------------------------------------------------------------------------------------------
k_shape_41                          92  25  20  15    4926     346   2.80e7   0.05%  99.40%
k_infer_only                        93  12  45  15    4753    2955   2.72e7   0.05%  99.45%
k_shape_46                         109  27  23  15    3849   30060   2.51e7   0.04%  99.49%
k_shape_00                          60  36   1   1    6536  108063   2.51e7   0.04%  99.54%
k_shape_68                         153  17  49  14    2712     483   2.38e7   0.04%  99.58%
try_reduce_fin_val_decidable_rec   149   9  58  37    2472    9544   2.08e7   0.04%  99.61%
k_shape_64                         104  20  39  16    3069       0   1.86e7   0.03%  99.65%
k_shape_02                          60  40   2   1    4868  320964   1.81e7   0.03%  99.68%
k_shape_28                          71  38  13   7    3961  670185   1.69e7   0.03%  99.71%
k_shape_23                          66  38  11   5    3867    2360   1.53e7   0.03%  99.74%
k_shape_03                          66  40   2   2    3219  484594   1.25e7   0.02%  99.76%
k_shape_57                          88   6  33   6    2414      53   1.20e7   0.02%  99.78%
k_shape_34                          75  32  16   8    2676   20463   1.15e7   0.02%  99.80%
k_shape_72                         109  17  58   8    1860   17498   1.11e7   0.02%  99.82%
load_verified_constant             100   1  88   5    1860    2402   1.02e7   0.02%  99.84%
k_shape_29                          74  26  13  12    2304 2290845   9.61e6   0.02%  99.86%
blake3                              86   1  72   8    1950     140   9.23e6   0.02%  99.87%
memory[34]                          43   0   0   0    2651    7671   6.58e6   0.01%  99.88%
k_shape_74                         173  29  60  37     783   48057   6.54e6   0.01%  99.90%
k_shape_20                          56  26  10   6    2054    6432   6.40e6   0.01%  99.91%
get_constant_info_by_variant        64   8  46   2    1765       0   6.16e6   0.01%  99.92%
k_shape_55                          95  17  31  20     988      78   4.70e6   0.01%  99.93%
k_shape_18                          56   9   9   9    1055     199   3.00e6   0.01%  99.93%
k_shape_56                         105  19  32  22     561     480   2.71e6   0.00%  99.94%
k_shape_48                         105  24  24  20     542     246   2.60e6   0.00%  99.94%
k_shape_44                          86  27  22  15     611       0   2.45e6   0.00%  99.95%
k_shape_78                         171  11  75  40     321      15   2.30e6   0.00%  99.95%
k_shape_15                          69  38   8   5     676     378   2.22e6   0.00%  99.95%
memory[12]                          21   0   0   0    1772   97658   2.07e6   0.00%  99.96%
k_shape_50                          90  24  26  16     503      39   2.05e6   0.00%  99.96%
k_shape_04                          54  40   2   2     680   20933   1.75e6   0.00%  99.96%
k_shape_67                          80   7  48   6     483      13   1.74e6   0.00%  99.97%
k_shape_77                         145  16  71  11     287       0   1.71e6   0.00%  99.97%
k_is_def_eq_struct_go               58  26  13   6     623       0   1.70e6   0.00%  99.97%
nl_subsume_entry                   121  13  54  24     311      63   1.57e6   0.00%  99.98%
k_shape_70                          80  11  51   5     375      97   1.30e6   0.00%  99.98%
k_shape_53                         115  17  30  26     257       4   1.19e6   0.00%  99.98%
k_shape_83                         153  11 110   9     190    1164   1.11e6   0.00%  99.98%
k_shape_58                          67  11  34   7     337    1254   9.60e5   0.00%  99.98%
k_shape_71                          99  15  53   7     232      94   9.11e5   0.00%  99.99%
k_shape_73                         112  14  59   8     177      13   7.47e5   0.00%  99.99%
k_shape_69                          82  15  50   4     222     221   7.17e5   0.00%  99.99%
k_shape_05                          96  40   2   2     165   12555   5.89e5   0.00%  99.99%
k_shape_61                          82   8  35  15     175       5   5.41e5   0.00%  99.99%
k_shape_65                          88  13  42   8     152      14   4.90e5   0.00%  99.99%
ctor_at                             86   2  72   3     141       3   4.38e5   0.00%  99.99%
k_shape_40                          67  16  20   5     165     172   4.13e5   0.00%  99.99%
k_shape_63                          86  12  39   6     114      94   3.39e5   0.00%  99.99%
put_address                        106   1  65  34      95      45   3.34e5   0.00%  99.99%
muts_member_at                     108   2  94   3      92     214   3.27e5   0.00%  99.99%
const_idxs_ctors                    57   2  40   5     114      91   2.26e5   0.00% 100.00%
compare_rules                       89   4  40  16      77       0   2.18e5   0.00% 100.00%
get_inductive                       67   1  51   9      95       0   2.13e5   0.00% 100.00%
k_shape_38                          60   8  19   7     101       0   2.05e5   0.00% 100.00%
memory[36]                          45   0   0   0     114     453   1.79e5   0.00% 100.00%
k_shape_27                          58  22  13   5      91    2877   1.75e5   0.00% 100.00%
memory[47]                          56   0   0   0      93    1214   1.74e5   0.00% 100.00%
k_shape_42                          45   2  21   4     109       0   1.70e5   0.00% 100.00%
memory[10]                          19   0   0   0     210   59730   1.61e5   0.00% 100.00%
k_shape_66                         144  22  44  35      38      14   1.45e5   0.00% 100.00%
load_verified_blob                  46   1  36   3      89     711   1.36e5   0.00% 100.00%
build_flat_block                   159   7 121  12      32       0   1.28e5   0.00% 100.00%
Bytes1                              11   0   0   0     256       0   1.22e5   0.00% 100.00%
check_recursor_canonical_full      125   9  50  18      32       0   1.01e5   0.00% 100.00%
build_minor_at_depth                65   1  25  21      45       0   8.19e4   0.00% 100.00%
k_shape_33                          60   4  15  12      47       0   8.00e4   0.00% 100.00%
k_shape_21                          71  37  10   7      37     211   6.98e4   0.00% 100.00%
klimbs_mul_single                   86   3  47   7      27       0   5.62e4   0.00% 100.00%
u64_mul                            222   1 155  46      13       0   5.39e4   0.00% 100.00%
build_succ_offset                   57   2  17  16      30       0   4.30e4   0.00% 100.00%
nlvars_subsume                     111   6  49  25      17       3   3.92e4   0.00% 100.00%
memory[11]                          20   0   0   0      46     154   2.71e4   0.00% 100.00%
memory[9]                           18   0   0   0      48     351   2.59e4   0.00% 100.00%
k_shape_49                          85   5  25   8      14     279   2.32e4   0.00% 100.00%
memory[5]                           14   0   0   0      46    4726   1.94e4   0.00% 100.00%
memory[6]                           15   0   0   0      33     417   1.37e4   0.00% 100.00%
memory[8]                           17   0   0   0      29   40990   1.30e4   0.00% 100.00%
u64_byte_count                     150 128   8   1       5     292   8.89e3   0.00% 100.00%
k_shape_62                         149  17  37  23       3       0   3.65e3   0.00% 100.00%
k_shape_01                          38  26   1   2       6    1520   3.16e3   0.00% 100.00%
memory[2]                           11   0   0   0      13      99   3.11e3   0.00% 100.00%
try_str_dispatch                   128  18  47  28       2       0   1.35e3   0.00% 100.00%
k_shape_54                          58   9  31   6       2       0   6.52e2   0.00% 100.00%
verify_claim                        40   1   1   2       1       0   2.16e2   0.00% 100.00%
list_length_u64.MutConst            79   2  64   4       0       0        0   0.00% 100.00%
get_reveal_rule_list_inner          59   2  32   6       0       0        0   0.00% 100.00%
rbtree_map_balance_fix.G           122  57  31   8       0       0        0   0.00% 100.00%
klimbs_scalar_value                117   7  63  21       0       0        0   0.00% 100.00%
get_reveal_ctor_info                80   1  64   9       0       0        0   0.00% 100.00%
get_ctor_entry_list_inner           90   2  63   6       0       0        0   0.00% 100.00%
k_shape_75                          81   3  65   3       0       0        0   0.00% 100.00%
check_mut_const                    127   3   1  10       0       0        0   0.00% 100.00%
list_length_u64.RecursorRule        43   2  28   4       0       0        0   0.00% 100.00%
k_shape_60                         111   7  35   8       0       0        0   0.00% 100.00%
k_shape_79                         118   9  80   8       0       0        0   0.00% 100.00%
list_length_u64.U8_8                42   2  27   4       0       0        0   0.00% 100.00%
univ_succ_count                     49   2  26   4       0       0        0   0.00% 100.00%
k_shape_81                         152  23  90  14       0       0        0   0.00% 100.00%
memory[19]                          28   0   0   0       0       0        0   0.00% 100.00%
str_lit_to_ctor                     49   1  21  21       0       0        0   0.00% 100.00%
k_shape_59                          89   3  34  10       0       0        0   0.00% 100.00%
canon_addr_cmp                     105   1  80  18       0       0        0   0.00% 100.00%
canon_cmp_kexpr_node_ctx            79  40  12   7       0       0        0   0.00% 100.00%
memory[50]                          59   0   0   0       0       0        0   0.00% 100.00%
memory[64]                          73   0   0   0       0       0        0   0.00% 100.00%
k_shape_80                         132  11  85  12       0       0        0   0.00% 100.00%
