=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 49507530863 (4.95e10)
Total cache hits: 22638136
Total saved cost: 51.38%
---------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height    Hits FFT cost       %     %++
---------------------------------------------------------------------------------------------------------------------------------------------
get_all_telescope                                                                     42   2  15   6   15506       8   4.59e7   0.09%  98.05%
try_nat_linear_rec                                                                    75   5  27  17    9011     306   4.47e7   0.09%  98.14%
de_args                                                                               32   5  10   5   19108    5106   4.42e7   0.09%  98.23%
walk_refs_transitive                                                                  27   4   6   5   21264     546   4.20e7   0.08%  98.32%
expr_inst1_bvar                                                                       20   3   4   3   26224       0   3.94e7   0.08%  98.40%
whnf_proj_head                                                                        61   4  28  10    9276       0   3.76e7   0.08%  98.47%
ctx_close_cut                                                                         46   3  17  10   11451    3941   3.59e7   0.07%  98.55%
k_ensure_sort                                                                         18   1   7   4   24483   12547   3.30e7   0.07%  98.61%
k_is_def_eq_slow_nd                                                                   32   4   9   6   14140       0   3.17e7   0.06%  98.68%
whnf_nd_const_head                                                                    55   9  23   7    8646       0   3.14e7   0.06%  98.74%
blake3_compress_layer                                                                223   3 170   6    2324       0   2.91e7   0.06%  98.80%
k_infer_only                                                                          93  12  45  15    4753    2955   2.72e7   0.05%  98.85%
k_is_def_eq_slow                                                                      26   4   7   4   14140       0   2.59e7   0.05%  98.91%
k_is_def_eq_ordered                                                                   19   2   4   3   18630     415   2.58e7   0.05%  98.96%
k_is_def_eq_struct_safe                                                               40   9  12   6    9419      39   2.52e7   0.05%  99.01%
try_reduce_fin_val_decidable_rec                                                     149   9  58  37    2472    9544   2.08e7   0.04%  99.05%
blake3_finish                                                                        190  11 151   9    1950       0   2.03e7   0.04%  99.09%
whnf_iota_major                                                                       51   3  24   9    5749    3630   1.85e7   0.04%  99.13%
list_is_empty.U8                                                                      15   2   4   2   16811   16906   1.83e7   0.04%  99.17%
cleanup_nat_offset_major                                                              45   5  19   8    6158   12476   1.77e7   0.04%  99.20%
get_constant                                                                         162   3 136   9    1860       0   1.64e7   0.03%  99.24%
whnf_nd_apply_beta                                                                    34   3  10   7    7111       0   1.57e7   0.03%  99.27%
try_match_nat_add                                                                     47   6  17   9    5013       0   1.47e7   0.03%  99.30%
ctx_next_cut                                                                          16   1   6   4   12876   23232   1.45e7   0.03%  99.33%
try_eta_struct                                                                        91   8  48  14    2712     483   1.42e7   0.03%  99.36%
blake3_next_layer                                                                    221   4 136   5    1074       0   1.20e7   0.02%  99.38%
try_struct_eta_iota                                                                   93   9  39  16    2179       0   1.13e7   0.02%  99.40%
k_is_def_eq_slow2                                                                     58   9  20  11    3064       0   1.04e7   0.02%  99.42%
load_verified_constant                                                               100   1  88   5    1860    2402   1.02e7   0.02%  99.44%
whnf_nd_proj_head                                                                     61   4  28  10    2740       0   9.64e6   0.02%  99.46%
get_ci                                                                                97  10  68   7    1765   82225   9.30e6   0.02%  99.48%
blake3                                                                                86   1  72   8    1950     140   9.23e6   0.02%  99.50%
try_extract_nat                                                                       30   6   9   5    4611    5517   8.58e6   0.02%  99.52%
try_extract_nat_app                                                                   33   4  11   6    4219       0   8.54e6   0.02%  99.54%
run_check_transitive                                                                  79   7  55   6    1860   17498   8.05e6   0.02%  99.55%
verify_bytes_against                                                                  73   1  33   2    1950       0   7.85e6   0.02%  99.57%
const_idxs_of                                                                         77   6   7   6    1860       0   7.84e6   0.02%  99.58%
check_const                                                                           75   8  20  15    1765      95   7.20e6   0.01%  99.60%
collect_spine_of_ctor                                                                 45   3  23   7    2757    6560   7.19e6   0.01%  99.61%
nat_offset_of                                                                         58  12  23   9    2153     692   6.99e6   0.01%  99.63%
nat_lit_to_ctor_or_self                                                               43   4  14  10    2758    6563   6.88e6   0.01%  99.64%
memory[34]                                                                            43   0   0   0    2651    7671   6.58e6   0.01%  99.65%
str_lit_to_ctor_app_or_self                                                           24   3   7   4    4185    7831   6.19e6   0.01%  99.67%
get_constant_info_by_variant                                                          64   8  46   2    1765       0   6.16e6   0.01%  99.68%
expr_lift_bvar                                                                        39   2  14   8    2721       0   6.15e6   0.01%  99.69%
u64_is_zero                                                                           25   9   2   1    3017  482566   4.47e6   0.01%  99.70%
relaxed_u64_pred                                                                      25   9   2   1    3008  241141   4.45e6   0.01%  99.71%
prim_family                                                                          161  23  59  37     595   48057   4.44e6   0.01%  99.72%
try_nat_dispatch_prewhnf                                                              86   8  31  20     972       0   4.18e6   0.01%  99.73%
projection_definition_info                                                            54   5  23  10    1440   29368   4.13e6   0.01%  99.73%
convert_definition                                                                    40   5   6   4    1523       0   3.28e6   0.01%  99.74%
lbr_max                                                                               35   2  13   7    1601  369274   3.04e6   0.01%  99.75%
try_def_eq_nat                                                                        41   4  16   7    1374     185   2.99e6   0.01%  99.75%
lbr_min                                                                               35   2  13   7    1544  292203   2.92e6   0.01%  99.76%
expr_mentions_block                                                                   40  14  10   5    1354     607   2.87e6   0.01%  99.77%
is_nat_zero                                                                           24   4   7   4    2084     664   2.83e6   0.01%  99.77%
assert_safety                                                                         15   2   3   2    3122     166   2.83e6   0.01%  99.78%
is_unsafe_ci                                                                          29   9   2   1    1765    2323   2.82e6   0.01%  99.78%
replace_spine_major                                                                   23   1   7   7    2124     164   2.78e6   0.01%  99.79%
head_addr                                                                             24   2   9   4    2009    1093   2.72e6   0.01%  99.79%
const_num_lvls                                                                        27   8   1   1    1764   13102   2.63e6   0.01%  99.80%
const_type_of                                                                         27   8   1   1    1764    1101   2.63e6   0.01%  99.80%
flatten_u64                                                                           14   1   1   1    3008   93860   2.48e6   0.01%  99.81%
get_definition                                                                        30   1  18   6    1523       0   2.47e6   0.00%  99.81%
memo_u32_less_than                                                                    28   1  13   7    1612 2290680   2.46e6   0.00%  99.82%
lazy_delta_loop                                                                       35   7  10   5    1326     178   2.45e6   0.00%  99.82%
run_check                                                                             24   1  14   4    1765       0   2.35e6   0.00%  99.83%
peel_params_subst                                                                     30   2  11   5    1420     297   2.28e6   0.00%  99.83%
try_unit_like                                                                         28   2   7   6    1428     208   2.15e6   0.00%  99.84%
level_struct_eq                                                                       39  12  11   5    1070     750   2.14e6   0.00%  99.84%
memory[12]                                                                            21   0   0   0    1772   97658   2.07e6   0.00%  99.85%
try_proof_irrel                                                                       25   2   6   5    1460     208   1.97e6   0.00%  99.85%
k_infer_proj                                                                          62   1  39  13     665       0   1.96e6   0.00%  99.85%
whnf_spine                                                                            25   2   7   5    1440     780   1.94e6   0.00%  99.86%
read_byte                                                                             18   2   5   3    1868       0   1.89e6   0.00%  99.86%
peel_n_alls_whnf                                                                      29   3   9   5    1235       0   1.88e6   0.00%  99.87%
is_str_prim_addr                                                                      65   8  22  15     582       0   1.76e6   0.00%  99.87%
k_is_def_eq_struct_go                                                                 58  26  13   6     623       0   1.70e6   0.00%  99.87%
peel_field_loop                                                                       34   2   9   6     956       0   1.64e6   0.00%  99.88%
nl_subsume_entry                                                                     121  13  54  24     311      63   1.57e6   0.00%  99.88%
is_native_prim_addr                                                                   57   7  19  13     578       0   1.53e6   0.00%  99.88%
is_dec_prim_addr                                                                      57   7  19  13     577       0   1.53e6   0.00%  99.89%
level_imax                                                                            37   6  13   6     816    8708   1.49e6   0.00%  99.89%
try_nat_binop_dispatch                                                                65   6  24  14     467     232   1.36e6   0.00%  99.89%
convert_univ_idxs                                                                     38   2  16   7     728   19588   1.34e6   0.00%  99.89%
level_list_inst                                                                       25   2   7   5    1035    2276   1.33e6   0.00%  99.90%
level_inst_params                                                                     28   5   7   5     935    1077   1.33e6   0.00%  99.90%
try_reduce_decide_bitvec_lt                                                          165   8  72  40     194      15   1.22e6   0.00%  99.90%
get_univ                                                                              55   5  33   6     464      53   1.15e6   0.00%  99.90%
level_eq                                                                              36  10  10   5     653     177   1.12e6   0.00%  99.91%
is_prop_type                                                                          30   3  11   5     692     774   1.00e6   0.00%  99.91%
utf8_decode_one                                                                       76   4  32  17     306       0   9.71e5   0.00%  99.91%
peel_n_foralls                                                                        21   2   7   3     854      75   9.04e5   0.00%  99.91%
is_bitvec_prim_addr                                                                   33   4  10   7     580       0   8.99e5   0.00%  99.91%
try_eta_swap                                                                          30   4  11   4     625      49   8.93e5   0.00%  99.92%
lazy_delta_step_const_const                                                          120   6  60  22     188       0   8.59e5   0.00%  99.92%
get_tag2                                                                              40   2  23   5     464       0   8.39e5   0.00%  99.92%
address_eq_tail                                                                       84   6  66   3     237       0   7.94e5   0.00%  99.92%
peer_agree_walk                                                                      107   5  69  11     190       0   7.76e5   0.00%  99.92%
try_unfold_proj_app                                                                   31   3  11   6     535     248   7.71e5   0.00%  99.92%
try_dec_dispatch                                                                      70   4  26  16     269       0   7.70e5   0.00%  99.93%
level_max                                                                             45   4  17   9     382     123   7.51e5   0.00%  99.93%
level_is_not_zero                                                                     27   7   7   4     553     877   7.00e5   0.00%  99.93%
level_max_subsumes                                                                    23   3   6   4     622      54   6.86e5   0.00%  99.93%
check_prop_field_if_prop                                                              22   2   5   4     632      33   6.70e5   0.00%  99.93%
