work,worker,proof_s
"Claim(0)",1,33.670009987
"Claim(3)",0,41.293736604
"Claim(14)",2,39.280105947
"Claim(1)",3,44.297972443
"Claim(11)",1,40.659765578
"Claim(5)",2,41.934894585
"Claim(15)",0,46.907431346
"Claim(10)",1,48.139114085
"Claim(2)",3,49.577330931
"Claim(4)",2,49.934875743
"Claim(12)",0,47.142664828
"Claim(6)",1,50.244274459
"Claim(9)",3,53.479829165
"Join(2)",2,25.86496941
"Join(28)",1,26.701718354
"Claim(7)",0,51.620753563
"Claim(13)",3,53.500975673
"Claim(8)",2,53.060352782
"Claim(16)",1,41.855616358
"Join(7)",0,27.005849934
"Claim(18)",3,42.27128064
"Join(4)",0,26.770176106
"Claim(17)",1,50.600922386
"Claim(21)",2,47.665995137
"Join(13)",1,29.78821198
"Claim(19)",3,54.164801242
"Claim(24)",0,49.082692902
"Join(18)",2,28.696044173
"Join(23)",1,27.475377244
"Join(9)",3,24.280913566
"Claim(22)",2,51.901308777
"Claim(20)",0,60.946106755
"Claim(23)",1,59.516905433
"Claim(26)",3,60.595952382
"Join(31)",2,30.568266104
"Join(36)",3,27.82943009
"Join(25)",2,26.990267536
"Claim(25)",0,60.584178083
"Claim(30)",1,46.026789655
"Join(10)",2,21.814080106
"Join(15)",3,28.297413463
"Join(41)",0,27.203530672
"Join(32)",2,22.871549503
"Claim(29)",1,47.385111961
"Claim(28)",3,56.909194014
"Join(38)",2,28.55301852
"Claim(27)",0,60.027400444
"Join(49)",3,29.648307552
"Claim(31)",1,57.560605039
"Join(19)",3,25.170969488
"Claim(33)",2,61.964352091
"Claim(34)",0,51.581994324
"Join(33)",1,23.309779133
"Join(43)",3,26.780015663
"Join(58)",2,27.753684119
"Join(54)",3,31.336754392
"Claim(35)",0,51.832737336
"Claim(36)",1,54.704274572
"Join(20)",0,23.566223085
"Join(51)",3,28.061808798
"Claim(32)",2,65.27506534
"Join(44)",3,23.735281443
"Claim(43)",1,45.591522218
"Join(60)",2,28.300617753
"Claim(38)",0,67.644806301
"Join(68)",2,29.378326697
"Claim(39)",3,65.792896836
"Claim(40)",1,66.671055261
"Join(55)",2,24.700173072
"Join(45)",1,26.92098741
"Claim(37)",0,78.266053476
"Claim(44)",3,57.074404206
"Join(63)",1,31.610817077
"Claim(42)",2,64.931505777
"Join(70)",0,26.199542799
"Claim(48)",1,37.107750717
"Join(77)",0,32.717719276
"Claim(41)",3,69.198435133
"Claim(45)",2,55.906266055
"Join(46)",0,28.089095079
"Claim(46)",1,55.336700781
"Join(64)",2,24.876031518
"Join(73)",3,33.983177513
"Join(87)",1,33.631397152
"Claim(47)",0,62.001004347
"Claim(52)",2,55.621869607
"Claim(50)",3,67.255874271
"Join(65)",2,24.570657476
"Join(80)",0,34.047412077
"Claim(51)",1,60.398764233
"Join(74)",1,24.185376891
"Claim(53)",3,59.901512247
"Claim(56)",2,55.854408974
"Join(89)",1,28.638970755
"Claim(54)",0,63.267324592
"Join(92)",3,30.429729702
"Join(81)",1,24.96341694
"Claim(55)",2,59.373278409
"Join(101)",1,30.109779208
"Claim(57)",0,62.01789189
"Claim(62)",1,43.2459729
"Claim(49)",3,88.57905439
"Claim(60)",2,59.722910582
"Join(93)",1,26.393569533
"Join(82)",3,22.204609239
"Claim(59)",0,69.609036103
"Join(106)",0,29.836448774
"Claim(66)",3,46.820480684
"Claim(63)",1,53.532363193
"Claim(58)",2,76.023798795
"Claim(67)",0,43.429922409
"Join(109)",1,29.826922092
"Join(96)",0,27.126432786
"Claim(61)",3,58.58757714
"Claim(65)",2,55.278425109
"Join(83)",0,24.125801011
"Claim(64)",1,54.870838621
"Claim(71)",2,41.860591669
"Claim(68)",3,51.503416779
"Join(115)",1,32.272173344
"Claim(70)",0,50.04566215
"Join(124)",2,27.020535575
"Join(111)",3,24.801412316
"Join(131)",1,25.0003956
"Join(98)",0,25.983684656
"Join(118)",3,27.972729564
"Claim(69)",2,50.917173742
"Join(127)",0,28.446465621
"Claim(72)",1,43.839643395
"Join(84)",3,31.71147618
"Join(112)",0,23.353352923
"Claim(74)",2,46.809778249
"Join(133)",0,25.727329827
"Claim(73)",1,57.502722585
"Claim(75)",3,54.054308314
"Join(102)",2,21.855962835
"Join(119)",0,22.44294469
"Join(128)",1,21.741354582
"Join(141)",3,24.028961033
"Join(136)",2,26.609884821
"Claim(76)",0,54.230635209
"Join(120)",2,22.418264824
"Join(144)",3,27.284501145
"Claim(77)",1,61.79229374
"Join(103)",0,19.965953215
"Join(137)",2,18.825779995
"Join(145)",2,18.443643684
"Join(148)",0,25.851640875
"Join(121)",1,21.660179043
"Join(138)",3,18.71245604
"Join(150)",0,22.066530179
"Join(151)",2,17.387993364
"Join(152)",1,20.646614622
"Join(153)",3,24.296499997
"Root",2,30.559052204
"Root",2,9.387427207
"Root",2,4.493406145
"Root",2,2.721945797
