2026/09/16 04:19:01.264, 3, 0, 0, 32.22
2026/09/16 04:19:01.474, 3, 1, 0, 32.22
2026/09/16 04:19:01.675, 3, 23, 0, 32.22
2026/09/16 04:19:01.876, 3, 723, 2, 39.08
2026/09/16 04:19:02.076, 3, 723, 0, 54.62
2026/09/16 04:19:02.276, 3, 723, 0, 59.80
2026/09/16 04:19:02.476, 3, 723, 0, 63.57
2026/09/16 04:19:02.676, 3, 723, 0, 66.39
2026/09/16 04:19:02.876, 3, 723, 0, 87.14
2026/09/16 04:19:03.076, 3, 723, 0, 87.14
2026/09/16 04:19:03.277, 3, 723, 0, 87.14
2026/09/16 04:19:03.477, 3, 723, 0, 87.14
2026/09/16 04:19:03.677, 3, 723, 0, 87.14
2026/09/16 04:19:03.877, 3, 723, 0, 86.65
2026/09/16 04:19:04.077, 3, 723, 0, 86.65
2026/09/16 04:19:04.278, 3, 723, 0, 86.65
2026/09/16 04:19:04.478, 3, 723, 0, 86.65
2026/09/16 04:19:04.678, 3, 723, 0, 86.65
2026/09/16 04:19:04.878, 3, 723, 0, 87.07
2026/09/16 04:19:05.078, 3, 723, 0, 87.07
2026/09/16 04:19:05.278, 3, 723, 0, 87.07
2026/09/16 04:19:05.478, 3, 723, 0, 87.07
2026/09/16 04:19:05.678, 3, 723, 0, 87.07
2026/09/16 04:19:05.878, 3, 723, 0, 86.85
2026/09/16 04:19:06.078, 3, 723, 0, 86.85
2026/09/16 04:19:06.279, 3, 723, 0, 86.85
2026/09/16 04:19:06.479, 3, 723, 0, 86.85
2026/09/16 04:19:06.679, 3, 723, 0, 86.85
2026/09/16 04:19:06.879, 3, 723, 0, 87.12
