2026/09/17 16:57:42.482, 0, 80
2026/09/17 16:57:43.483, 0, 0
2026/09/17 16:57:44.483, 0, 0
2026/09/17 16:57:45.483, 819, 0
2026/09/17 16:57:46.483, 819, 0
2026/09/17 16:57:47.483, 819, 0
2026/09/17 16:57:48.483, 819, 0
2026/09/17 16:57:49.483, 819, 0
2026/09/17 16:57:50.483, 819, 0
2026/09/17 16:57:51.483, 819, 0
2026/09/17 16:57:52.483, 819, 0
2026/09/17 16:57:53.483, 819, 0
2026/09/17 16:57:54.484, 819, 0
2026/09/17 16:57:55.484, 819, 0
2026/09/17 16:57:56.484, 819, 0
2026/09/17 16:57:57.484, 819, 0
2026/09/17 16:57:58.484, 819, 0
2026/09/17 16:57:59.484, 819, 0
2026/09/17 16:58:00.484, 819, 0
2026/09/17 16:58:01.484, 819, 0
2026/09/17 16:58:02.484, 819, 0
2026/09/17 16:58:03.484, 819, 0
2026/09/17 16:58:04.484, 819, 0
2026/09/17 16:58:05.484, 819, 0
2026/09/17 16:58:06.484, 819, 0
2026/09/17 16:58:07.485, 819, 0
2026/09/17 16:58:08.485, 819, 0
2026/09/17 16:58:09.485, 819, 0
2026/09/17 16:58:10.485, 819, 0
2026/09/17 16:58:11.485, 819, 0
2026/09/17 16:58:12.485, 819, 0
2026/09/17 16:58:13.485, 819, 0
2026/09/17 16:58:14.485, 819, 0
2026/09/17 16:58:15.485, 819, 0
2026/09/17 16:58:16.485, 819, 0
2026/09/17 16:58:17.485, 819, 0
2026/09/17 16:58:18.485, 819, 0
2026/09/17 16:58:19.486, 819, 0
2026/09/17 16:58:20.486, 819, 0
2026/09/17 16:58:21.486, 819, 0
2026/09/17 16:58:22.486, 819, 0
2026/09/17 16:58:23.486, 819, 0
2026/09/17 16:58:24.486, 819, 0
2026/09/17 16:58:25.486, 819, 0
2026/09/17 16:58:26.486, 819, 0
2026/09/17 16:58:27.486, 819, 0
2026/09/17 16:58:28.486, 819, 0
2026/09/17 16:58:29.486, 819, 0
2026/09/17 16:58:30.486, 819, 0
2026/09/17 16:58:31.486, 819, 0
2026/09/17 16:58:32.487, 819, 0
2026/09/17 16:58:33.487, 819, 0
2026/09/17 16:58:34.487, 819, 0
2026/09/17 16:58:35.487, 819, 0
2026/09/17 16:58:36.487, 819, 0
2026/09/17 16:58:37.487, 819, 0
2026/09/17 16:58:38.487, 819, 0
2026/09/17 16:58:39.487, 819, 0
2026/09/17 16:58:40.487, 819, 0
2026/09/17 16:58:41.487, 819, 0
2026/09/17 16:58:42.487, 819, 0
2026/09/17 16:58:43.487, 819, 0
2026/09/17 16:58:44.487, 819, 0
2026/09/17 16:58:45.488, 819, 0
2026/09/17 16:58:46.488, 819, 0
2026/09/17 16:58:47.488, 819, 0
2026/09/17 16:58:48.488, 819, 0
2026/09/17 16:58:49.488, 819, 0
2026/09/17 16:58:50.488, 819, 0
2026/09/17 16:58:51.488, 819, 0
2026/09/17 16:58:52.488, 819, 0
2026/09/17 16:58:53.488, 819, 0
2026/09/17 16:58:54.488, 819, 0
2026/09/17 16:58:55.488, 819, 0
2026/09/17 16:58:56.488, 819, 0
2026/09/17 16:58:57.488, 819, 0
2026/09/17 16:58:58.488, 819, 0
2026/09/17 16:58:59.489, 819, 0
2026/09/17 16:59:00.489, 819, 0
2026/09/17 16:59:01.489, 819, 0
2026/09/17 16:59:02.489, 819, 0
2026/09/17 16:59:03.489, 819, 0
2026/09/17 16:59:04.489, 819, 0
2026/09/17 16:59:05.489, 819, 0
2026/09/17 16:59:06.489, 819, 0
2026/09/17 16:59:07.489, 819, 0
2026/09/17 16:59:08.489, 819, 0
2026/09/17 16:59:09.489, 819, 0
2026/09/17 16:59:10.489, 819, 0
2026/09/17 16:59:11.489, 819, 0
2026/09/17 16:59:12.490, 819, 0
2026/09/17 16:59:13.490, 819, 0
2026/09/17 16:59:14.490, 819, 0
2026/09/17 16:59:15.490, 819, 0
2026/09/17 16:59:16.490, 819, 0
2026/09/17 16:59:17.490, 819, 0
2026/09/17 16:59:18.490, 819, 0
2026/09/17 16:59:19.490, 819, 0
2026/09/17 16:59:20.490, 819, 0
2026/09/17 16:59:21.490, 819, 0
2026/09/17 16:59:22.490, 819, 0
2026/09/17 16:59:23.490, 819, 0
2026/09/17 16:59:24.491, 819, 0
2026/09/17 16:59:25.491, 819, 0
2026/09/17 16:59:26.491, 819, 0
2026/09/17 16:59:27.491, 819, 0
2026/09/17 16:59:28.491, 819, 0
2026/09/17 16:59:29.491, 819, 0
2026/09/17 16:59:30.491, 819, 0
2026/09/17 16:59:31.491, 819, 0
2026/09/17 16:59:32.491, 819, 0
2026/09/17 16:59:33.491, 819, 0
2026/09/17 16:59:34.491, 819, 0
2026/09/17 16:59:35.491, 819, 0
2026/09/17 16:59:36.492, 22129, 0
2026/09/17 16:59:37.492, 30453, 100
2026/09/17 16:59:38.492, 32003, 64
2026/09/17 16:59:39.492, 32387, 99
2026/09/17 16:59:40.492, 36803, 36
2026/09/17 16:59:41.492, 36915, 69
2026/09/17 16:59:42.493, 36915, 0
2026/09/17 16:59:43.494, 36917, 64
2026/09/17 16:59:44.494, 36979, 78
2026/09/17 16:59:45.495, 36979, 36
2026/09/17 16:59:46.495, 36979, 91
2026/09/17 16:59:47.495, 37157, 43
2026/09/17 16:59:48.495, 47909, 100
2026/09/17 16:59:49.495, 60149, 100
2026/09/17 16:59:50.495, 66757, 100
2026/09/17 16:59:51.495, 66587, 53
2026/09/17 16:59:52.496, 66581, 100
2026/09/17 16:59:53.496, 68037, 100
2026/09/17 16:59:54.496, 66581, 99
2026/09/17 16:59:55.496, 69091, 36
2026/09/17 16:59:56.496, 66645, 98
2026/09/17 16:59:57.496, 66645, 100
2026/09/17 16:59:58.496, 67759, 93
2026/09/17 16:59:59.496, 66645, 100
2026/09/17 17:00:00.496, 68089, 93
2026/09/17 17:00:01.497, 66677, 96
2026/09/17 17:00:02.497, 66677, 100
2026/09/17 17:00:03.497, 68283, 97
2026/09/17 17:00:04.497, 66677, 92
2026/09/17 17:00:05.498, 66981, 95
2026/09/17 17:00:06.498, 67519, 63
2026/09/17 17:00:07.498, 66825, 60
2026/09/17 17:00:08.498, 66677, 100
2026/09/17 17:00:09.499, 67231, 56
2026/09/17 17:00:10.499, 67567, 95
2026/09/17 17:00:11.499, 66677, 44
2026/09/17 17:00:12.499, 66751, 100
2026/09/17 17:00:13.499, 66783, 71
