leaf,blocks,consts,bytes,own_size,frontier_bytes,heartbeats,subst,whnf,def_eq,nat_arith,intern,unfolded_bytes,foreign_unfolded_bytes,delta_edges,foreign_delta_edges,record_bytes,execution_s,proof_s,trace_shards
237,2914,2938,20884020,20884020,8886433,11056689,14712347,674384,5243406,3856,273871633,66327588,64850640,149310,148146,37450178940,318.9,64.602,17
238,429,430,17260628,17260628,6460038,16787522,13408597,879769,4677506,133,257393540,40316827,40134725,67954,67886,35298033624,324.5,54.718,16
239,891,894,14144601,14144601,5419523,14347487,13179249,874863,5121566,360,245574677,46856932,45865907,88938,88749,26492627972,244.5,39.766,12
240,2532,2542,26844561,26844561,6928977,15874336,21782210,1051227,6192973,6184,387098045,102181446,89411387,168328,162939,39571984696,334.1,56.741,19
241,1368,1374,21913510,21913510,7605762,16946096,19746770,1016039,6040338,1475,298737935,53081842,52201758,102289,101746,46654393779,426.1,82.459,20
242,4484,4511,26685419,26685419,11654083,12775656,18776482,923444,5876526,5195,312731534,70341529,66005303,155179,151884,49942513719,417.6,88.817,22
243,316,316,14590771,14590771,6757474,25056879,16158604,1177071,6226306,575,304494330,35040561,34229225,59266,59153,34616318568,307.8,53.848,16
244,786,787,11939085,11939085,5055062,14545807,10754448,741995,4599352,3849,237670876,49739306,48846600,98145,97664,23519091367,201.8,40.428,11
245,2422,2441,22167814,22167814,10183421,33473681,22712847,1651078,10593205,4539,482376388,83205486,81858903,179155,178245,46251615821,406.9,80.352,21
246,1757,1766,21837964,21837964,9488836,24807062,18439778,1423583,7875755,5161,380387405,76814279,75797087,168027,167294,43692357457,372.9,70.321,19
247,2098,2106,18087666,18087666,7951145,23948272,17118614,1393667,7678725,11220,378442695,74894626,73095214,154282,153085,37125641261,306.0,59.105,17
248,1608,1624,21969344,21969344,7784554,19963891,22261332,1109728,6628667,477,358318855,64355911,61067688,125033,123710,41678167636,367.5,70.933,18
249,2300,2323,18145050,18145050,7624757,10828452,15526023,620296,5218367,974,269664374,55898935,54007001,115860,114748,34137096597,307.6,58.796,16
250,2077,2093,18009503,18009503,8030120,12810732,14046020,911720,5209232,1294,265554663,59597461,56633459,118909,117707,35430050455,290.3,57.207,16
251,3229,3246,14844860,14844860,5718750,9591412,11559303,695526,4099902,4975,245752901,56310680,51341424,107373,104812,27862082441,228.1,48.727,13
252,1694,1698,20198826,20198826,6019492,19697845,13846110,1179420,5383213,22283,380500802,78224336,77266072,152034,151580,32313725298,285.5,53.92,15
253,1545,1551,16534928,16534928,5474898,7165296,11058558,468581,3664598,3926,202594283,56110677,55563926,111733,110603,27319737221,245.3,42.746,12
254,1674,1692,16525215,16525215,6677457,7598649,11216092,499551,4011066,2506,221019778,63911849,62319413,125162,124289,29007617682,283.3,43.887,13
255,1446,1450,13574024,13574024,4415016,4247071,9119645,303427,2566171,2075,140260394,40704283,39614956,85616,85172,20856094793,183.6,37.154,10
256,3128,3159,18540946,18540946,7513461,9526967,9755532,645617,3615869,13483,194783831,47342631,46691755,139539,138876,30464298731,265.9,46.988,14
257,4631,4688,16349050,16349050,8345286,23033813,9653148,1398841,3119381,45323,361704429,58833067,55650448,154554,150986,40876567002,341.5,72.115,19
258,9589,9790,28552049,28552049,8691900,17503668,16828580,1373028,5547356,29953,329212132,69857471,62689090,193778,187300,45866746121,364.5,77.532,21
259,1418,1420,17846000,17846000,4697790,11620667,14111354,821238,4548928,2025,245411460,52258826,49662339,112597,110792,36029394345,330.9,57.944,16
260,2035,2052,14665688,14665688,8098600,8085402,10522755,586059,3388082,4733,196723021,48191917,46679551,105479,104456,28297512031,218.0,48.732,13
261,4038,4063,26600846,26600846,9104646,13097615,21289087,946739,7084981,2540,375218411,88566561,82525536,199638,196886,41438950141,320.4,67.859,19
262,1060,1064,14637236,14637236,5890703,19781616,13357286,2300261,5623260,674,360567111,47324848,45926596,79519,78948,34467908295,320.6,54.658,15
263,1581,1592,12008228,12008228,4746111,6501803,10433967,474086,2719234,3575,181269962,39493380,36801947,67748,66825,25295890963,199.2,45.579,12
264,4184,4222,21819929,21819929,6417590,11747886,16825974,907686,4127992,10849,289965867,44685307,41191798,106979,104621,36378498190,291.7,57.592,16
265,1939,1947,26595504,26595504,7847554,8646573,18074570,537189,3687315,6963,219141196,35078861,34382574,82778,82139,46556506276,404.9,74.548,21
266,2363,2380,21783621,21783621,6582733,8930087,15319594,667792,3810603,738,206281110,39959235,36754088,78528,76985,39092663138,339.2,61.328,18
267,1405,1410,14393913,14393913,5166301,16289936,12108667,1166892,5106797,338,224267737,39359562,36831522,66392,65286,32604588805,283.4,56.188,15
268,2829,2839,17258913,17258913,6849143,5877826,10832309,466201,3186643,2610,163112258,37195174,34426545,79081,76687,33421928730,285.2,59.255,16
269,5037,5072,26103458,26103458,8320998,12095122,21396893,934352,6068516,82,274130593,52774000,48134465,105887,102659,43244298773,350.5,73.871,20
270,4996,5026,22939086,22939086,5268549,32214198,26333760,2962646,9916708,56,637076830,112114152,82553822,154313,141473,48985938454,434.7,82.85,21
271,7045,7130,15339093,15339093,5079960,6340532,11889604,660585,3501559,115,199433203,37701221,32347389,79428,74843,26535452778,203.8,41.364,12
272,4949,4990,12568245,12568245,3096747,6773197,10246219,708416,3559659,173,178378509,28960518,23476438,60003,55328,20801853583,158.2,34.278,11
273,8032,8073,22877381,22877381,5251873,15568486,25025030,1407209,7089127,1883,404624727,54738819,44630233,109742,102751,36419316616,292.8,66.427,17
274,7711,7764,18749219,18749219,3174989,5674910,13769208,660070,4140847,414,207517088,30241679,22242081,64762,55994,27231516008,210.1,46.724,13
275,1534,1538,23753623,23753623,6828664,13827823,13637900,880150,4211947,12553,252054109,54928325,54004955,121788,121289,35247518545,274.0,59.497,16
276,739,741,13768930,13768930,7658735,6334349,8710657,443252,2306838,1234,137949076,25123199,24747977,50539,50406,23474213443,184.8,36.977,10
277,1078,1086,11302390,11302390,4375136,5798733,7305445,430233,2390879,1130,150036938,33171513,32231392,62482,62231,17116662280,135.6,28.693,8
278,1369,1377,21979549,21979549,7654644,8085552,13925484,533327,3727738,1767,242163683,59560844,58435995,108507,108067,35754390578,297.4,52.944,17
279,1904,1912,18013822,18013822,5956003,7924235,10774725,554659,3668726,4003,232017113,62885908,61664923,120009,118633,27498624745,236.0,43.581,13
280,1649,1657,21547907,21547907,6029715,13242349,17514673,905693,5235597,2809,267090957,60687663,57850054,118007,116911,37434542764,318.1,56.2,17
281,2263,2267,17664732,17664732,5569997,8726218,8503085,541439,2909410,9504,169262887,41702958,40509953,114817,114141,25095750917,198.0,38.994,12
282,1704,1719,18407072,18407072,5850269,8217879,11688968,528986,3564004,3483,222363594,51741320,50410117,100444,99526,29978500380,245.3,50.826,14
283,2652,2676,15101825,15101825,6230834,8186927,8997676,522649,2919648,6687,171631335,42948383,41660160,103381,102601,24315676059,190.1,37.866,11
284,1654,1656,28439093,28439093,8621315,27888507,26809731,1435133,10219174,3012,358235727,57324333,54896895,122231,121323,54242003485,503.4,80.769,23
285,1732,1740,16444184,16444184,8459900,10576132,12083242,610244,4476364,6104,217308249,51706414,50838419,122369,121668,32250046935,280.0,49.231,15
286,2482,2495,13515976,13515976,8074881,7706650,9489217,527427,3795646,3527,181876663,45570204,44259769,109835,108942,25596972424,213.7,42.765,12
287,3763,3780,24718725,24718725,10586132,49316239,22455707,2810835,10978309,29660,622115310,87092460,83669568,204043,201631,69258193207,582.8,119.367,30
288,3314,3329,23126357,23126357,7176234,9759022,12879054,732200,3993650,9243,241490080,53804450,50596343,131581,129657,38292383209,301.9,59.565,17
289,1690,1698,14640284,14640284,5492206,6969390,7966106,456698,2848914,7305,137444196,33506832,32631853,96530,95844,23540141801,176.4,37.83,11
290,2554,2575,11985781,11985781,5856728,10647414,6877953,743498,2464950,21559,194634264,38725591,36716435,95373,94009,25021763834,190.0,38.933,12
291,4505,4524,21797804,21797804,7469798,22455220,15806654,1550080,6066447,22877,428638664,80170027,74841365,164827,161751,43017836915,340.9,66.153,19
292,3658,3682,19841075,19841075,6839270,8536853,13300668,576718,4129025,3411,228775086,48508634,43612434,104108,101835,31877731946,236.4,57.789,15
293,7016,7095,19859137,19859137,5457662,6386057,14940558,572535,4166427,782,243763469,50770199,42568666,110652,104574,31506979077,233.2,55.601,15
294,418,419,14073432,14073432,3698024,9162666,12233402,406280,3074656,992,160924753,26420967,25683209,51486,51386,21307063071,177.2,34.264,10
295,564,568,11580652,11580652,3737341,24307739,13546653,1070557,6624334,2348,301085789,41889962,41506668,84371,84314,18182270624,152.4,34.178,9
296,1476,1484,21014717,21014717,6456439,21168962,19270078,1173410,7075659,2649,371704372,67549703,63958777,119569,118776,35686327678,283.0,52.238,17
297,1467,1469,22194419,22194419,6882517,19535223,18263900,1124135,6904053,921,362751699,71063400,68156412,126984,125781,43758295326,372.2,78.727,19
298,2051,2060,18430508,18430508,5161469,7594631,13616511,517451,3958845,703,228292898,51571814,48489390,99348,97679,30698816578,267.6,54.196,14
299,1351,1353,16960480,16960480,4246601,9873961,11147730,659627,3650252,1303,217888155,47721932,44775431,84774,83900,30220120201,247.2,50.638,14
300,2933,2943,15986951,15986951,5171638,7522597,10088177,536907,3673213,1777,242280661,59351605,53611319,104506,101320,31750053506,270.3,56.022,15
301,6337,6392,17341927,17341927,4482658,7575507,11132689,631505,3706433,3474,207394321,53442956,47928774,135643,131418,23604439754,176.1,39.56,11
302,13491,13576,21157020,21157020,2152473,6489244,11428015,596464,3327981,9056,188421138,50350048,36830044,143399,126689,22781473041,163.7,34.32,11
303,326,329,18407657,18407657,5204225,31649135,16246735,2307609,4642191,357,383576159,10954009,10856865,20565,20496,58637325145,623.1,101.532,27
304,749,750,15093469,15093469,2608597,7236408,11090286,455322,2577625,147,165598612,23675420,23039148,42647,42357,27270922782,223.3,47.02,13
305,2195,2211,29916436,29916436,4128634,15615873,23078877,920566,8193843,2245,404458244,66376503,61515627,116602,114724,49122487487,424.6,81.087,21
306,3943,3992,19643662,19643662,5804086,8277413,14109590,628630,4287556,2291,240387516,59894146,53992841,125707,122425,29875461874,238.8,44.99,14
307,7202,7261,20748259,20748259,5277230,9080978,14746971,828448,4786148,5097,255318307,51624073,41863416,113362,105263,32136029073,257.7,53.371,15
308,5199,5222,18195053,18195053,2878166,6373434,13292905,1194500,4083914,1963,217480679,44830736,34056093,82298,77184,23497483239,181.8,37.935,11
309,5389,5471,14938879,14938879,3057579,4103896,10329113,484770,3357252,1645,164516789,25814329,20024932,55828,49921,22793237746,178.6,38.487,11
310,3049,3107,21616886,21616886,9332675,17346373,17723472,927884,8353386,8157,336731189,94037954,91808183,239119,237508,31623196246,248.2,48.716,15
311,3691,3720,17747946,17747946,9079477,12753125,12291182,775029,6030804,5013,255948465,81683725,79680684,205714,204400,26207309785,219.7,44.166,12
312,2628,2652,18126556,18126556,8821970,9643991,10522506,699743,4811758,6540,172192397,52252963,51091389,147855,146426,27640068588,206.1,45.429,13
313,2652,2665,14973122,14973122,8437188,6337480,9041930,541432,3146481,4800,138774088,39977269,39009357,107688,106897,24205058602,182.0,41.525,12
314,2467,2478,17925215,17925215,8358671,7820892,10628446,599066,4432656,5018,192468497,55813032,55050467,154957,153683,26652096342,195.0,46.682,12
315,4223,4290,14758789,14758789,8426290,7922562,8757087,662619,3344636,9845,167075993,47191964,45744219,131542,128440,24640222086,198.7,43.143,12
316,4380,4400,26792249,26792249,9417014,26672232,17446962,1855061,8412098,23804,341663229,85894786,83637106,237519,234860,37395911493,309.2,56.797,18
317,1298,1307,14606367,14606367,6041443,4659237,10506647,317097,2842078,2420,119850921,33345498,32185152,85401,84926,22941097109,188.8,37.007,11
318,2550,2591,12282681,12282681,6161076,29080529,9648581,3237663,3057091,2956,668736133,31422614,30416176,84290,83261,19079485561,149.8,29.407,9
319,4110,4159,23393444,23393444,8865788,7278124,13947150,625711,3839807,6100,238859450,55544823,52408847,132485,130822,35085750762,281.3,54.373,16
320,1922,1934,14494244,14494244,6181917,7126084,9794093,439082,4114419,3471,169630420,51970807,50532151,122941,121691,21707473187,175.2,33.918,10
321,2697,2709,17248884,17248884,8949859,7945778,9594455,539072,3287698,8858,181834311,50398535,49351712,127728,127124,28234074751,239.3,50.562,13
322,6610,6676,26383716,26383716,9017791,14288499,16336238,1105131,5183217,14119,280796143,67776013,65593687,188964,186450,40443411774,317.6,66.955,19
323,1232,1239,14188467,14188467,4389964,4224715,8211362,278166,2705636,3295,115361454,34818443,31077712,82247,81088,20982644467,161.5,36.657,10
324,1971,1998,11625604,11625604,5055520,4814233,7060766,358663,2657446,4106,127129674,38162974,37212440,93523,92742,19067662778,143.9,33.876,9
325,2869,2889,21173010,21173010,6661085,10441983,11944064,648991,3873433,9530,221075994,54362075,51407093,123414,120957,33133800785,272.8,58.167,15
326,2999,3016,23076065,23076065,8255608,14332057,11591834,937695,4849626,21515,284293141,65098704,61894351,164863,162797,41178798416,330.9,62.598,20
327,2644,2665,18908620,18908620,6204007,7938406,11863618,601391,3967855,5246,197474536,49931361,47467860,117189,115876,30454937732,244.7,51.187,14
328,2248,2261,17912376,17912376,7429780,8361648,10270502,613437,3487014,5760,182674478,51953430,51072379,124838,124148,26966018791,197.8,42.823,13
329,2397,2434,14727329,14727329,7951388,12535679,11494137,756361,4870133,7086,240093219,55800577,54516227,131469,130479,27774210075,234.3,46.779,13
330,4268,4322,26747509,26747509,10117765,10700499,16124812,781892,5306474,5614,280212865,79510662,77691549,180277,179011,41131313006,332.0,66.757,19
331,4017,4110,26610788,26610788,9306874,12011181,19178354,929585,6611344,5967,345224610,86528137,80313074,200401,195809,40764565511,326.3,66.314,18
332,5657,5742,21991852,21991852,8082636,10964519,15657910,844397,4585214,6992,257578928,55771265,52070080,132731,129624,35751088101,277.2,59.673,16
333,94,94,14753108,14753108,6148991,15864343,10795595,680934,3655159,1130,185848096,15585850,15574599,27452,27449,30038187699,269.8,48.761,13
334,197,198,12074472,12074472,4753497,23442876,11966989,966175,5605217,504,245244534,20794938,20711129,41004,40988,22408417472,211.6,38.816,11
335,1132,1140,21962313,21962313,7571912,48921529,24577154,2180516,12612909,3645,570998138,68773725,68251395,142279,142131,35461925120,309.9,54.27,17
336,1012,1018,21713784,21713784,5677726,73037984,31241742,3224647,18091530,2023,796505188,88444647,87508803,173924,173723,30142615164,257.6,50.167,14
337,1656,1674,18220171,18220171,5763428,55162559,27800388,2516565,16030913,6565,727452492,116127411,111299543,222621,221301,27090094534,215.8,43.146,13
338,576,579,17018976,17018976,6294842,34058875,18467253,1505551,8797567,2258,406062196,48445421,47809480,97888,97778,29130671403,266.3,49.535,14
339,1099,1101,13924736,13924736,5943729,38039313,18168250,1756222,10634645,3040,465074837,68975256,67708921,140773,140412,24173399164,207.1,40.92,11
340,3722,3752,28191307,28191307,11438802,22888802,21019694,1259579,9608142,6183,432656225,107512099,105262547,250897,249129,45902968518,370.3,73.183,21
341,3112,3286,22165619,22165619,6621350,71090207,32584446,3042719,19333352,4055,809770937,99024761,97323705,200116,198309,30863775382,264.2,46.501,14
342,3639,3675,26223449,26223449,10137198,33331763,25290083,1670687,12077175,6045,520146610,97455508,95691762,225748,224403,47321490511,399.1,78.895,21
343,235,236,13982213,13982213,4984432,18207210,11178927,837834,4492768,399,207140831,22556191,22345596,43623,43572,25372443885,224.3,41.129,12
344,649,649,12191623,12191623,6072180,23262889,12625918,1076606,6261318,1751,263809273,34424152,34140851,73465,73235,30729252226,287.6,51.808,15
345,1946,1953,21433061,21433061,8715523,23044173,17187420,1247936,7538158,4681,323284534,59164810,58400251,137442,136472,42328077430,362.1,69.916,19
346,1596,1607,17538374,17538374,6114226,29145792,21354532,1638696,9527321,1084,370100791,59686761,58000350,118436,117250,29430491645,232.4,52.689,14
347,2551,2566,21417867,21417867,8939706,21395033,19211755,1100477,8069861,2431,369194130,74774045,72746215,161544,160295,42724382510,353.0,68.103,20
348,2274,2286,22856245,22856245,11002404,13923308,18444890,871549,5405775,4264,358320332,81770341,80394087,146541,145868,52365158259,446.3,82.535,24
349,2159,2178,18709799,18709799,7269421,36070553,15613192,1937123,6334753,15399,516368566,55705963,54241209,113185,112405,55384148004,478.3,85.68,25
350,2144,2162,18854069,18854069,6108451,13295425,15113969,730516,4761356,1843,247848652,43362942,40821179,96789,95032,32474991677,281.7,53.59,15
351,2343,2384,15446804,15446804,4197271,13417551,10556738,718939,3671924,11752,228031872,34252270,30986597,81566,79564,27420988669,210.9,39.997,12
352,359,360,14738357,14738357,7350797,21999986,13787839,1001664,5735066,417,257100616,28873788,28742302,52678,52604,33135078772,318.7,55.221,15
353,633,636,12074777,12074777,6876709,15521712,13767462,888784,5095972,146,230875289,37300812,37121074,71069,70959,28010858204,253.8,44.182,13
354,2547,2583,21956215,21956215,10796296,15991048,19751527,939899,6986846,389,329876163,67768843,66469703,137910,137160,45019860642,392.4,78.388,20
355,2091,2100,22551099,22551099,11113612,22676860,20423563,1411467,8702083,1707,402821015,78794258,76915303,168560,165084,55079680035,488.3,95.331,24
356,2074,2088,18508816,18508816,9288477,21212745,18120048,1094253,7716636,1039,364791355,71040143,69278824,143685,143085,38193056827,324.8,68.472,17
357,1,1,58490064,58490064,437725,4724060,20999202,331028,9731729,79094,109159310,95708,95708,289,289,96059384396,764.9,156.494,56
358,11,11,154296,154296,58973187,51363,114703,4212,42658,79,33132517,336541,336541,983,983,43303709237,220.4,52.906,18
359,28,28,151553,151553,396579,49031,43187,3356,41411,109,1548678,423939,423939,1380,1380,557476550,5.6,1.731,1
360,910,913,18672586,18672586,7061381,9214485,14451126,509294,3463988,1773,187353895,31866268,31267336,64714,64595,36736812529,355.2,58.057,17
361,1705,1725,19631422,19631422,8849631,27317962,19776818,1325569,8682454,2909,404019318,72759512,71104192,146525,145925,37910423380,328.0,67.705,17
362,2215,2257,16226030,16226030,7363112,9904490,14338584,909772,4246104,603,221019597,40681648,39311482,83786,82636,34094594716,305.8,59.368,16
363,1511,1519,25855985,25855985,9054539,16588269,21181195,919848,6275986,1906,300816256,62883626,61603216,123533,122940,48944340954,496.2,83.115,23
364,2362,2378,23012116,23012116,11441339,14593779,17470008,836540,6502144,2436,316093904,70750995,69708470,152768,152261,43652617142,416.0,71.538,20
365,1086,1091,17456129,17456129,7118774,26583722,17885925,1245670,8275201,594,370404955,63460003,62072739,123501,123164,31583468517,293.5,48.875,15
366,1629,1656,14484541,14484541,6778140,17976965,14453420,933660,6722165,4045,298897565,57777190,56711007,124265,123672,29611160295,281.6,43.697,14
367,2425,2430,26135424,26135424,10932110,25368815,22356428,1368929,9164796,6893,418246167,89062906,86773040,190923,189320,50329966432,451.5,91.239,23
368,1729,1739,21912301,21912301,9138191,28636721,21449935,1431289,8516574,1924,400276516,58552299,57070837,118976,117863,41565609521,413.8,77.893,19
369,1467,1476,14225473,14225473,6708553,9779054,10690766,546340,4116804,1410,211127918,55140963,52247918,104533,103510,26475133704,224.1,46.164,12
370,2103,2114,11641597,11641597,5412847,6167976,7469642,404178,2654147,1827,151403506,35602673,34270392,76589,75872,21093506016,174.1,34.265,10
371,2450,2463,21909284,21909284,9071202,9397152,14679255,613825,4624540,1993,254574786,58841076,56639112,125527,124307,40911551429,359.4,71.659,19
372,3049,3108,17997612,17997612,6013769,8006969,13430027,544793,3759022,1553,219503090,47640890,44408314,97709,95815,31463745877,255.6,53.548,15
373,369,378,21423690,21423690,6848442,42858186,23575339,1733229,9701113,192,397727743,25921772,25871826,48677,48636,37607936999,338.3,67.287,16
374,555,558,17860599,17860599,3815270,36726120,20122871,1502674,8859479,287,353305524,29561106,29535760,59073,59051,25173452156,197.3,40.812,12
375,685,690,18355235,18355235,5493568,23072902,16845873,987318,6168718,1147,254035971,24102915,23860249,55263,55148,37094410659,354.0,59.431,17
376,1187,1197,15124120,15124120,5309426,21552169,19080566,1072022,7632625,1255,373417446,70296201,67460230,130296,129660,28892863817,257.9,42.341,13
377,1527,1536,18142961,18142961,6408424,6636318,12779653,402541,3337183,2401,192472007,33708365,32912044,77630,76667,33330435478,307.0,53.745,16
378,1517,1541,15078438,15078438,4090044,3138172,8707697,233672,2257267,1634,130610851,27587757,26176151,61304,60653,21910570316,185.0,41.954,11
379,2474,2497,27769198,27769198,7061454,11327673,24867858,897562,5692633,1438,329479080,54223068,49898119,110311,108431,51033192571,475.3,81.97,23
380,335,336,14701854,14701854,6009585,12795283,11778640,603219,3540149,18,200668056,21885354,21576875,37425,37177,32074569947,299.6,49.514,15
381,1321,1334,12056065,12056065,5069041,9099471,11696651,530449,4272448,228,230587365,52539898,50575617,94606,93942,22226786002,224.1,37.214,11
382,2292,2303,21925426,21925426,8012245,11049000,13650194,733510,4494951,7754,263693919,64597635,62676866,140890,140044,40166675287,375.0,67.294,18
383,1879,1917,21496090,21496090,8356968,13413339,17509461,724526,5985697,2905,281352393,55791247,54015516,118974,117848,38044075105,340.2,57.307,18
384,3204,3273,18338434,18338434,7637701,8226176,14172591,558416,4090523,2203,245727914,55852762,52991856,116676,115008,36970515778,307.7,59.301,16
385,1789,1837,21589810,21589810,7378009,7665973,17248458,488015,3850345,2261,227475421,42711419,40799176,88836,88035,39844918210,370.1,64.279,18
386,2967,3001,18013523,18013523,5411228,99841684,21260421,7018606,17175336,30370,774306625,55196143,51682057,104406,102520,52561495326,472.0,86.802,23
387,1385,1395,17993383,17993383,4601072,6991253,14223124,514927,3083724,477,184712234,31574826,29415887,60154,59098,34913466856,302.4,56.251,16
388,3079,3168,15402506,15402506,4694391,4332090,12464715,471696,2640814,1130,151744905,29721711,26472933,66875,64592,26950403670,218.8,46.382,12
389,273,273,16846865,16846865,5072115,19078972,22987304,803802,5322742,1661,239380004,23652173,23606679,44250,44238,41431103068,389.9,68.976,19
390,856,858,13800780,13800780,6559441,16402003,12147468,776019,5508949,3501,249995535,47383819,46777537,98277,98136,25533959653,228.0,44.046,12
391,2906,2949,25426434,25426434,12443126,17110659,17778530,976880,7081665,9267,345323005,79035500,77610570,187550,186184,49169679825,472.8,82.151,23
392,2025,2036,25000292,25000292,10772231,30283999,24990801,1581242,10917117,3397,465239536,79515119,78319649,163925,163280,48309501599,438.6,76.124,21
393,2890,2937,20905704,20905704,9818079,27045513,13697044,1913523,4514182,50979,370599382,53208766,51434608,122025,120561,54614282620,479.2,99.889,25
394,1114,1116,20874008,20874008,5346332,18424149,18173203,885297,7302777,1956,318604798,46921520,46151892,93034,92561,37922741855,331.7,61.569,17
395,1415,1429,12424857,12424857,6210021,4382887,7468916,310871,2381043,3705,107945433,25985184,25627958,74744,74171,22795217676,181.5,39.665,12
396,1256,1264,10165876,10165876,3708129,4374681,5804566,290315,2401269,4111,93782771,18215182,17625538,50084,49707,17069547167,118.2,25.76,8
397,2213,2249,21940893,21940893,6873087,13198793,14673915,746578,5394729,7297,246040735,49874762,49121646,125016,124170,36793188418,297.2,57.137,16
398,2013,2050,18434270,18434270,5805169,7062092,10925473,536964,2897728,10512,164586292,39083102,37927496,97975,97383,29507605315,230.0,48.158,14
399,1373,1382,15774191,15774191,9642274,12780741,15969425,3999202,5187583,486,277416924,40839936,40104333,77659,77176,39170270228,339.8,70.402,18
400,1564,1567,12949825,12949825,7498260,5693577,9544725,399313,2828349,669,163088185,32384442,31584797,69854,69490,30180540310,254.9,52.956,14
401,2730,2781,23528206,23528206,10150779,9435417,15751450,674207,4800463,2667,259833310,57408737,54626382,119908,117955,42141706832,361.2,67.162,19
402,1928,1944,19264800,19264800,7109892,9887957,14089938,679842,4905181,1954,246701392,45750618,44117582,99474,98862,34234631271,289.2,57.444,16
403,3680,3704,23496966,23496966,9954728,13278576,16861770,5131099,6036039,385,352851955,69946863,66366961,137710,134842,44640282661,363.2,76.055,21
404,1,1,44056231,44056231,180953,4743531,17432067,360841,9688533,81282,105844659,22971,22971,98,98,76658782940,572.9,112.323,42
405,19,19,154991,154991,46447628,73508,45966,4453,33104,239,56508090,407060,407060,1498,1498,34039977189,179.9,40.431,15
406,1132,1144,16338538,16338538,4277092,6970406,12029381,429792,3673207,10740,147448204,24853817,24397622,60751,60525,27562803984,268.9,45.089,13
407,3131,3200,23380852,23380852,6902830,11319233,15900164,917194,5093424,1107,268185566,62672800,57306395,114718,112379,40703331772,343.2,64.502,18
408,4048,4133,19138657,19138657,5222766,7001808,15331706,778810,3935885,86,229161404,36819848,32744868,71363,67568,34610238571,287.3,55.922,17
409,174,175,22105171,22105171,3176073,13125823,16337671,554968,3873169,57,193603675,18219859,16167065,28265,28156,35374160498,338.2,57.231,17
410,705,717,18752348,18752348,4704196,32793097,22240551,1382197,9078563,332,409177898,46383286,45591019,85442,84963,28178013109,255.5,46.968,13
411,609,616,18472954,18472954,4815723,34783806,19242696,1510301,9060191,1076,447747900,47545065,45771343,93450,93142,26169797412,231.8,46.45,13
412,907,927,15157372,15157372,4508079,39709229,19713818,1733317,11084532,3081,483314585,64881290,63849912,131716,131516,21040659242,170.5,32.953,10
413,1140,1156,22544460,22544460,5993079,34153341,24828225,1516920,11200535,1910,512751832,78495659,76796503,151623,151255,32117090670,335.1,50.321,14
414,1353,1361,12704650,12704650,6434863,13520042,9924083,799947,4441140,8794,196835313,33243569,32979247,87581,87361,29107278070,274.3,48.289,14
415,1246,1253,11478485,11478485,5137956,20204318,14461551,1008516,6893221,6775,304318727,51107911,50652505,112464,112243,21772792462,187.5,35.575,10
416,1925,1980,20858019,20858019,6672834,30716777,21173270,1520017,10976339,15339,424194830,63093613,62009332,145386,144305,35780074726,294.6,59.791,16
417,1995,2011,17431804,17431804,6608922,25605555,12787829,1418710,5786712,22287,328610863,39644122,38572680,104713,103773,38280011643,347.3,58.768,18
418,1398,1404,21015098,21015098,5816056,19322141,17390094,1062311,6600214,1674,321472488,54198375,51834004,111952,111150,40886046438,374.9,64.877,18
419,1177,1182,17233156,17233156,5391200,7027467,14110452,397944,3356478,1189,181061389,31366702,29944859,60433,59526,35428808006,314.8,60.442,16
420,1107,1115,18599407,18599407,5395505,8357167,16207173,480383,4357737,349,184722785,28612708,27843459,59698,59434,35826634466,310.4,61.803,16
421,1561,1572,15217697,15217697,4060074,3485189,12254871,219558,2545581,259,115562430,18413188,17310465,43215,42578,27819017733,230.2,46.238,13
422,1566,1594,17707838,17707838,5550196,17629906,14841809,1027706,5289130,11713,285158749,38117249,35040872,94117,93039,32840005460,274.7,51.772,16
423,1223,1237,14822056,14822056,4577378,3466964,9819031,237192,1960118,663,110405209,19638121,18356014,44300,43558,32917258379,312.4,49.616,15
424,4258,4330,30079685,30079685,7505233,32513816,24073712,2471608,11466811,6567,448706827,60594679,56573274,119953,117125,53307863120,431.5,88.242,23
425,117,118,13631432,13631432,2195357,2479379,17995484,169696,1047245,1264,76944969,5110877,5100910,11405,11391,39270133516,559.7,63.859,18
426,365,367,12353244,12353244,3872748,2415290,10175881,149827,1409716,150,79850872,14790147,14477030,27173,27090,25126587808,372.5,40.187,12
427,1017,1018,21260764,21260764,5990825,8513439,16346272,500208,3726422,747,196623037,44177504,42689770,85175,84847,42109526790,575.7,70.111,19
428,1170,1175,22679523,22679523,8845295,15697358,18111905,811785,5280873,1418,265304356,46809078,46187366,93273,92956,47330998077,465.2,78.342,21
429,2741,2761,18597995,18597995,7931353,9939871,12451687,657429,4300711,4646,226005120,55408036,52420004,122824,119966,33171371787,296.0,59.527,15
430,2113,2131,19832640,19832640,7174559,8298672,12422297,534790,4565837,5569,189364320,49332225,47889681,123048,122114,34160481696,269.7,61.229,16
431,2337,2358,20011336,20011336,7880154,11092546,14181185,734455,5301600,2766,274532792,75110402,70370486,149506,147737,34418590728,303.8,51.321,16
432,1580,1587,16758084,16758084,4714433,12052044,13350347,703773,4813134,607,236449324,56042750,52207627,106137,105071,29467165527,253.2,49.353,13
