leaf,blocks,consts,bytes,own_size,frontier_bytes,heartbeats,subst,whnf,def_eq,nat_arith,intern,unfolded_bytes,foreign_unfolded_bytes,delta_edges,foreign_delta_edges,record_bytes,execution_s,proof_s,trace_shards
90,2012,2023,16484504,16484504,7982739,6067692,10430114,475172,3014327,721,197429367,40897157,39718913,86096,85464,27046412199,226.8,44.024,13
91,1734,1756,16451192,16451192,6001543,5519662,10795052,409999,2808598,4075,156781034,31286683,30128023,76871,76157,27926648478,216.7,48.681,13
92,3363,3517,13505931,13505931,5327058,10179487,10116244,1367121,3712336,4333,212979395,32646673,29256935,83226,80275,23918763839,209.1,40.792,12
93,870,872,15981209,15981209,8187124,5608127,10533211,330393,2937596,2891,129370946,34749054,34474198,82363,82198,26175995513,196.3,40.726,13
94,1373,1375,13093465,13093465,6711758,9548536,7281049,642907,2575685,13296,177376332,36545613,36178560,97026,96762,24345801242,185.8,34.633,11
95,2596,2612,23869999,23869999,10147018,9454412,14312499,683469,5261701,7813,224696614,68742024,67376503,184441,183385,35096045945,264.4,52.049,16
96,3414,3430,23997619,23997619,9272159,10016452,15003414,694230,5137242,7573,243919375,68820559,67342763,172549,171432,33122653934,245.4,53.17,16
97,3526,3564,19792060,19792060,9215231,6122409,11491087,481367,3507213,3721,178322216,50516981,49309006,131937,130948,29986353533,233.8,48.37,14
98,1133,1142,15074226,15074226,6555839,4920870,9626979,929229,2740812,2369,132157318,35884482,35535158,83473,83279,24672658634,199.9,35.952,11
99,1544,1546,15033226,15033226,4867364,6253835,7802468,437604,3255071,3932,154083776,57292537,56259814,135695,135209,18731399708,134.2,29.467,8
100,3545,3560,24669914,24669914,8929372,8152525,13367610,917308,4858143,4433,231799438,72720180,70792065,181354,179136,33017117380,240.8,54.789,15
101,2764,2783,23342719,23342719,7320413,13276387,14684927,1743910,5302316,5959,243982237,62089268,61046276,149065,148261,31873742669,237.9,50.486,14
102,3059,3073,21913741,21913741,8588880,7267481,11400092,548613,3720343,3899,207720581,59852651,58686004,141237,140490,30138595768,222.5,47.584,14
103,872,876,22824979,22824979,8653794,5951941,14569633,394217,2838368,2821,161325711,29604971,29316441,71246,71128,42875504955,383.4,64.929,19
104,1953,1963,18697574,18697574,6466911,3853625,10184058,288789,2577195,1772,131072637,32038025,31186062,79556,79051,25499648239,195.0,41.919,12
105,1647,1651,19238792,19238792,8268771,59355458,14420617,6725034,4477935,3271,1367064102,40969644,40492596,99791,99540,28213274514,218.1,41.836,13
106,1897,1904,15869874,15869874,5063252,30893981,11234270,3437057,3111255,2035,738528704,32047702,30461973,71133,68634,22194462023,169.8,34.462,11
107,554,555,13415558,13415558,6111515,4397203,7751320,530935,1907321,2865,98809342,20795627,20603595,50268,50185,21977155773,174.8,34.099,10
108,1006,1010,10979597,10979597,4331161,4472318,5839077,311443,1871301,3725,91248736,25704567,25268383,63452,63230,16329407195,124.0,25.316,7
109,2325,2342,22133216,22133216,7931741,9876525,12746346,1675751,4201252,8683,225722620,53593719,52451919,134782,133822,33872507301,254.0,47.071,15
110,1739,1744,20966435,20966435,5973268,10658325,12186763,743289,3389800,10500,218699077,38812122,37811988,94699,94061,34595239595,271.0,50.505,16
111,3745,3772,17283628,17283628,5671695,41123573,18676822,2900376,11645499,16460,451236594,51897360,47168421,108146,104580,33804534474,269.7,56.639,16
112,1247,1249,25257882,25257882,6647823,8202180,15637758,510045,5713785,8512,180418603,47414327,46959223,134375,134081,34854261484,260.3,52.308,15
113,1741,1748,20666616,20666616,7510522,6937364,12059588,487900,4375393,5399,170378920,48559948,47836585,132403,131677,29565491683,215.5,49.338,13
114,784,788,20910586,20910586,5561546,56432426,25581273,2421840,13875056,5745,618056139,68695439,68140399,141753,141572,29684929472,237.4,45.778,14
115,1528,1536,17114398,17114398,5966090,27277664,15306030,1321982,7575291,10683,344798550,52172205,51765173,131076,130757,25170117579,185.3,42.207,12
116,508,515,19058253,19058253,5278049,5203034,14208841,311525,2857866,2527,116014234,20497511,20020490,52751,52537,32958239655,296.5,54.601,15
117,1384,1391,15927121,15927121,6669648,4402887,11795351,328234,2787877,2599,128898972,35609352,35166934,93264,92909,31000433879,273.7,46.282,14
118,1960,1971,18342580,18342580,7849445,18795082,15050195,1284308,6623998,5221,298364260,61484519,60032149,139822,138790,31610025869,261.0,53.922,15
119,3262,3287,15509014,15509014,4857507,5426928,12398963,414706,3351759,1274,171866245,34103954,30771930,75955,72919,26991288682,226.5,46.453,12
120,1154,1155,22979291,22979291,8132969,6684079,14569306,434878,3751371,5686,171099636,36271224,35800997,95200,94350,36486780871,287.1,53.737,17
121,1635,1654,18826298,18826298,6736791,32029383,13573180,3475689,3881273,2721,759614838,41372457,40445453,92466,91924,28961171854,238.2,47.88,14
122,1487,1494,18529962,18529962,7229607,5253997,10623302,386843,2580095,892,178521152,38527236,37483082,76940,76233,32523118568,283.9,51.897,16
123,2885,2943,15732253,15732253,5550169,4608830,9243034,338283,2547883,1757,148561520,33954498,32079256,73018,70883,24466982607,181.8,42.164,11
124,2001,2021,19804317,19804317,8617134,19624271,13433578,1278306,6896939,10728,269597292,63777889,63074576,163685,162924,35174693239,292.6,51.92,17
125,1671,1674,16243468,16243468,7063209,10161843,9785035,601136,3600342,10713,184092843,43210722,42413276,109056,108236,27314530385,218.1,41.184,12
126,3538,3566,29510319,29510319,9167819,27649625,25408554,1497404,10612896,11600,446379786,89078758,83948581,192086,188441,47243843578,379.0,78.876,22
127,251,251,20102295,20102295,5933498,3036220,13031374,190548,1552860,764,99664908,12187289,12138225,31104,31073,33317202931,278.4,58.555,15
128,986,990,16477657,16477657,6774870,7745887,10114324,526383,3284675,4079,170435157,33924705,33290665,78918,78646,27186451382,219.9,45.352,13
129,961,965,19324878,19324878,6189040,9234439,13022885,565413,3824446,6009,230071620,43459566,42236101,72839,72206,32784527056,288.7,47.095,16
130,1663,1666,15838373,15838373,6803308,6160566,9884404,439474,2934469,1256,189900737,50682425,49069134,96419,95854,23921848762,180.7,34.675,11
131,395,395,16990651,16990651,4425851,5298023,9175948,274725,2953934,4108,118972613,19323845,19103088,41477,41384,24815018688,192.6,43.922,12
132,976,982,15369903,15369903,5314117,5580076,9732432,380531,2450889,1768,157230865,25303602,24849581,54056,53869,24604799345,205.5,46.38,11
133,2567,2583,26482284,26482284,7348347,11798585,19023669,761099,5247308,1114,321483314,63928395,60831893,116740,115322,40586779602,340.7,62.768,20
134,856,865,17161351,17161351,4608041,14537554,17800441,703386,5431438,216,315863230,48779089,46384043,82377,81890,34089180006,313.7,51.328,16
135,1793,1809,14052060,14052060,5566865,10340888,15080007,713433,4480849,464,307079700,48645485,46228106,81476,80211,39997511710,377.1,66.467,18
136,2893,2903,29835990,29835990,9332487,14985876,23187324,908052,7641525,3966,392719462,84865416,81230086,176212,174613,46867166793,364.6,67.294,21
137,1678,1682,14311489,14311489,4526049,27949252,7979639,1749428,3156621,36147,394015219,30165875,28864825,79507,78259,49753072518,440.8,81.318,23
138,1653,1661,11709820,11709820,4425074,4952237,8235709,359567,2478029,1221,152987632,30901248,28930692,63196,62212,21967631122,172.4,31.636,11
139,3868,3945,24017082,24017082,6463789,12056170,20285710,1943048,5063625,3828,349428903,59651669,53082512,121708,118657,37008736854,294.1,60.156,17
140,2808,2819,23007050,23007050,11766455,31000800,21249394,1646522,10520889,5173,463107817,98179286,96245284,214851,212662,48873081755,393.9,85.432,21
141,4090,4110,24540995,24540995,12743126,14564956,19855238,925651,7021004,1669,388071492,81817802,80002657,169168,168060,54387422120,436.9,94.071,24
142,2578,2589,21384036,21384036,11090877,13813046,18090660,863014,6619494,1262,353167445,69046050,67416196,143080,142257,49641438291,397.8,83.904,22
143,3108,3129,17535212,17535212,11153912,18561359,15232523,1015174,7022940,2219,352499479,70995078,69422259,151254,150020,39706803097,312.0,63.878,18
144,3228,3233,22458354,22458354,12809203,14279348,16059989,896537,6548167,5540,324639875,82393838,80810333,191165,190152,45829161104,583.5,71.797,20
145,5727,5742,18451783,18451783,11118443,6532215,10033984,518572,3784267,3446,182462474,51297118,49694345,146886,144720,30462405199,242.0,51.942,15
146,3079,3088,18425605,18425605,11909375,15238273,13407003,1113266,6010038,6646,288557298,60906048,59652801,145741,144289,39028163482,345.9,57.854,18
147,7498,7535,15075671,15075671,7174821,6368213,9808131,567052,3310710,2452,167759491,37505925,35732102,100570,98416,25524120218,193.8,48.435,12
148,2329,2337,19009405,19009405,9243080,14498181,12592885,831915,5926923,16652,272249522,62901123,61908005,159835,158952,31812731672,449.5,55.327,15
149,2461,2465,15561723,15561723,7262142,13156120,8612171,830769,3577935,23046,219478925,49298476,47898332,131901,129475,26476084518,215.9,42.276,12
150,1961,1972,17272717,17272717,8501249,18571539,15831895,921229,7249481,4338,328878518,71838560,70194091,157359,156508,33121535719,291.2,50.649,16
151,2827,2833,14644681,14644681,7171291,8200058,9446500,598701,3914061,3278,198905052,45116702,43028100,108949,106676,25562396796,219.0,39.377,12
152,2531,2541,18624235,18624235,7516252,8099238,13092936,551145,4068130,1147,272731210,64136105,59066078,118585,116514,38637566900,339.9,60.485,18
153,2619,2635,15250240,15250240,7989527,12047954,12213495,720110,5155587,2169,259080043,60828006,57919720,127410,126172,29187975916,235.4,51.712,14
154,16672,16720,31300876,31300876,10650495,14249100,17781789,1390945,5941257,13437,306099286,82262700,74114359,249813,240151,41435236476,294.7,70.895,20
155,811,813,18024855,18024855,7394743,19332475,15913521,982916,5398543,575,250716146,32622386,32279348,65739,65474,50942926016,509.0,87.734,24
156,1547,1550,14809787,14809787,8707016,9843200,11109255,612087,4257491,3004,215325934,43183591,42355069,101126,99809,34279394988,304.5,59.836,16
157,3191,3202,26883045,26883045,9910595,17236319,20734737,1053386,7910968,5389,380617380,74541312,72313217,178835,177057,50499604135,423.6,84.164,24
158,2277,2287,21762291,21762291,12196630,29742706,22800790,1521300,11029281,6301,476291936,95772358,94996953,211118,210641,41684824313,538.8,87.463,18
159,2715,2728,17820184,17820184,8995327,8834865,11763441,565001,3956199,7489,210333799,51693324,50624076,135402,134659,31720724661,249.4,46.563,15
160,2230,2269,17805055,17805055,8400811,14624691,16284508,844887,6457216,2594,326920890,82038187,78587555,165611,163804,80728697803,927.9,152.716,37
161,2334,2340,14604126,14604126,6828214,28886044,11391568,1625279,4532576,26903,487287382,55468332,51013028,127406,124775,56987474665,477.7,111.354,26
162,1807,1811,17054958,17054958,7365322,11160401,11094211,666827,4539124,5617,223016648,55165553,53942699,122243,121672,28988043215,232.8,45.223,14
163,2728,2734,14040484,14040484,5978334,10127830,8235111,647725,3273072,19943,180690307,46204580,44719003,129787,128870,22796073344,164.8,34.784,11
164,4105,4132,25468051,25468051,7642675,13556528,18453578,907826,6022709,5042,385886554,88630164,82647527,172802,170052,44729843866,350.6,88.783,20
165,2926,2943,15184597,15184597,6748813,9356842,12335698,655520,4459565,851,297527574,61522216,56610026,115760,113658,31760812955,244.7,48.136,15
166,6299,6358,12724166,12724166,5267085,4859444,9569819,419349,3049535,377,156024485,39262903,33649721,100802,96355,20645000427,368.4,34.128,10
167,13581,13715,23328074,23328074,5742700,17270957,15910273,1567425,5643915,5236,293166526,49363455,40589693,147987,136833,31482925593,232.7,71.073,15
168,2493,2504,18942898,18942898,7002695,17324671,16081075,910495,7450498,13417,313916082,73834719,73181519,178409,177721,27915780559,225.4,46.663,13
169,3723,3760,20034232,20034232,9252609,11860073,10975558,841543,5973837,7397,260931887,95529343,93540152,236995,235317,27365220076,207.5,41.797,12
170,2712,2716,17487527,17487527,8403891,12906377,10739916,796351,6035142,12243,272597119,79030849,77460412,187164,186213,25946947184,204.1,38.924,12
171,2955,2989,14403324,14403324,7061060,7325651,6985949,493643,3415873,9257,156674980,49341482,48301495,131885,130955,22391214025,188.8,32.694,10
172,1503,1507,17939177,17939177,8052805,17420026,13736877,896358,6454763,5698,313304366,76382647,75463319,158426,157968,30439866183,266.9,46.242,14
173,1838,1845,14695538,14695538,6378854,18122648,10101793,1037841,4742112,11112,301617473,51623576,50537250,119902,119303,33708230088,303.0,49.799,15
174,4678,4728,27182236,27182236,11238776,35102508,18895638,2028122,9523375,26699,534133039,107549845,105058032,270964,268557,51654429565,430.4,104.663,24
175,1117,1121,17547973,17547973,6783149,32460954,18829761,1633877,10601752,15546,401011394,63578044,62730241,131434,131234,41098578631,413.9,73.206,19
176,1742,1748,14367353,14367353,7348102,20937871,15094951,1033484,8043594,3371,339105837,68814114,67972642,149330,148939,25786683580,218.5,38.372,12
177,3400,3412,27028277,27028277,9925146,24366905,20000233,1305886,9615658,10031,422719142,98654121,96699111,233223,231881,41545855000,330.2,64.657,19
178,1722,1726,14466903,14466903,7240037,24773232,15295498,1231488,8339763,6667,339978272,65893395,64939103,145528,144942,26456016184,221.3,42.747,12
179,1777,1783,12029456,12029456,5692996,19095645,13254291,950566,6826569,5595,302157819,57896987,56905267,129410,128816,21757166882,184.5,36.348,11
180,5232,5267,21787282,21787282,7603871,14186990,16925839,881371,6839061,4708,315367554,72482160,65391586,169112,164115,35177648216,270.0,55.876,16
181,997,1000,24141437,24141437,4421784,15845148,15115607,634651,6518499,23456,192912154,21393749,21158143,57076,56361,43377703931,389.5,74.148,19
182,2501,2509,20284383,20284383,5141588,6564775,10643281,430637,4127703,13362,171308410,39049894,37799072,104268,102915,28394627299,206.8,55.344,13
183,2135,2149,13700406,13700406,6581783,12255189,9296533,754131,3599793,21791,196333828,40668919,39944628,108160,107258,24882485958,217.7,45.623,12
184,2788,2804,11355272,11355272,4694619,7976889,5540134,503940,2385409,14584,136742793,30725582,29100340,89913,87918,18671337943,162.6,33.158,9
185,4616,4692,20547196,20547196,7379372,39338732,23825475,1783572,12974539,6528,556756260,102861490,99688368,212661,210635,34200355549,285.8,60.269,15
186,21063,21554,28366303,28366303,2766762,1733575,4716939,205662,2391196,7354,74496670,11524546,9972987,65568,61762,23237434750,134.8,38.163,10
187,24469,25196,23473704,23473704,3118399,2607715,4945056,367004,2067580,8637,75140421,14865805,11285704,68785,61329,21607858632,146.2,33.103,9
188,9743,9760,16962355,16962355,4175793,14568549,7333881,1284509,3043270,25075,187645192,49166396,43723584,175505,162316,21151400916,166.9,37.98,10
189,7945,7982,13905753,13905753,3099282,10181358,6694610,1206800,2126145,7311,140169638,26253273,24308370,95816,92651,19104431886,155.7,37.062,9
190,19351,19548,25273470,25273470,4285320,8401923,12135561,833093,3738363,15338,162183300,39151234,34367333,146247,137746,28288091563,224.3,45.671,13
191,646,647,17969042,17969042,6864152,42592685,20639874,1842203,10754655,1123,470568424,50876108,50345695,98284,98051,29530273533,276.3,46.099,14
192,1380,1388,14758272,14758272,6240283,48653963,22280385,2148620,13890086,2908,595425810,88084206,87595165,179574,179319,21998536342,194.4,35.729,10
193,2063,2078,26821121,26821121,7066931,52773518,30934134,2344160,15485787,9049,685370285,105762902,104051793,217928,216198,46893591148,443.3,75.996,21
194,849,851,14203412,14203412,4401150,19871388,13816123,936385,6721812,6341,309662455,64754757,64162820,130873,130479,28687240126,291.0,47.612,14
195,1592,1598,12547298,12547298,5572875,12469192,7587947,765966,3569656,2415,212073206,37363168,36561448,85295,84801,18857702029,175.4,36.536,9
196,2938,2956,21980806,21980806,9281394,28618560,19885743,1487179,9761123,11694,440507440,86461078,85239503,197353,196649,35289828966,306.0,57.661,16
197,1667,1672,20674625,20674625,7764868,50358579,25109953,2285507,14588295,1757,619552542,97481753,95856539,199634,199003,34617449408,299.0,57.643,16
198,2078,2088,17253330,17253330,7105132,29095589,19716388,1483578,10405611,3501,443926307,96033123,91356297,202987,201033,32213615555,270.1,55.857,15
199,905,905,15196238,15196238,4123594,29394766,18131545,1264173,9301353,2204,390501471,66492010,65468300,134666,134373,21761698833,176.8,34.386,10
200,2768,2778,15871455,15871455,7642814,16414126,12979538,878734,6421094,3592,293005935,72041116,70345409,163419,162313,28453260900,231.0,46.758,13
201,1986,1992,18826148,18826148,9335323,19889408,15296015,1145889,6938543,18550,320144863,67090968,66654236,165314,164912,35498977958,359.6,53.864,16
202,2569,2588,15471566,15471566,6741164,16595582,10200476,1076663,4416159,41436,249351835,48261373,47445972,136104,135546,28392713771,313.9,41.834,13
203,8397,8440,28111051,28111051,8222769,7965753,15424883,634346,4383481,11188,225674797,57068594,51046462,168991,162361,39188291408,293.1,64.524,19
204,536,537,14540629,14540629,3525756,11617054,10338057,605146,4045779,4835,179443917,33878451,33319128,75469,75272,32000484129,284.7,53.752,15
205,1070,1074,11937992,11937992,5803063,15571171,10370501,729142,4803015,2986,219052310,39153132,38362137,83984,83684,22175177836,211.7,39.752,11
206,2828,2861,25029596,25029596,8083739,19159317,17367229,1065089,7855632,17598,347718044,80645393,79138894,198594,197722,38341367657,310.5,60.719,17
