new_index,old_index,predicted_gib
398,253,26.64
399,366,26.62
400,125,26.58
401,299,26.5
402,571,26.47
403,156,26.44
404,544,26.42
405,498,26.41
406,165,26.39
407,26,26.34
408,40,26.34
409,485,26.3
410,478,26.28
411,406,26.26
412,525,26.24
413,210,26.14
414,329,26.14
415,515,26.14
416,535,26.13
417,130,26.01
418,85,25.94
419,1,25.84
420,202,25.81
421,262,25.8
422,119,25.78
423,449,25.78
424,135,25.78
425,76,25.78
426,433,25.76
427,106,25.76
428,131,25.72
429,260,25.69
430,388,25.61
431,313,25.52
432,487,25.5
433,271,25.47
434,216,25.47
435,13,25.44
436,455,25.44
437,444,25.42
438,224,25.41
439,300,25.41
440,161,25.4
441,149,25.4
442,147,25.32
443,479,25.31
444,446,25.3
445,233,25.26
446,380,25.2
447,531,25.16
448,315,25.15
449,251,25.11
450,52,25.11
451,492,25.07
452,32,25.01
453,549,25.0
454,77,24.99
455,421,24.96
456,123,24.93
457,438,24.93
458,239,24.91
459,98,24.9
460,425,24.88
461,333,24.87
462,405,24.84
463,532,24.82
464,567,24.76
465,194,24.75
466,540,24.75
467,188,24.74
468,151,24.67
469,390,24.66
470,551,24.64
471,173,24.63
472,132,24.62
473,267,24.56
474,369,24.53
475,351,24.53
476,11,24.52
477,317,24.52
478,283,24.48
479,468,24.35
480,221,24.26
481,320,24.13
482,48,24.11
483,558,24.05
484,556,23.97
485,7,23.96
486,286,23.9
487,423,23.66
488,353,23.64
489,499,23.61
490,276,23.59
491,343,23.57
492,304,23.51
493,294,23.48
494,6,23.45
495,65,23.38
496,231,23.35
497,530,23.27
498,183,23.27
499,309,23.22
500,171,23.2
501,378,23.17
502,99,23.11
503,289,23.09
504,204,23.04
505,21,23.03
506,548,23.0
507,400,22.98
508,511,22.94
509,87,22.83
510,163,22.83
511,344,22.81
512,517,22.81
513,179,22.73
514,92,22.72
515,211,22.5
516,225,22.44
517,518,22.42
518,415,22.39
519,545,22.34
520,414,22.33
521,137,22.28
522,41,22.17
523,8,22.13
524,512,22.12
525,323,22.1
526,459,21.96
527,107,21.93
528,454,21.91
529,28,21.88
530,255,21.85
531,553,21.74
532,381,21.69
533,94,21.69
534,334,21.67
535,318,21.57
536,166,21.55
537,78,21.52
538,43,21.48
539,562,21.47
540,205,21.33
541,295,21.32
542,33,21.3
543,529,21.24
544,244,21.12
545,53,21.08
546,451,21.04
547,263,20.88
548,550,20.83
549,395,20.74
550,426,20.68
551,195,20.59
552,272,20.54
553,14,20.52
554,189,20.4
555,234,20.35
556,62,20.29
557,568,19.93
558,290,19.82
559,370,19.43
560,138,19.34
561,222,19.32
562,66,19.23
563,324,19.04
564,277,18.42
565,460,18.16
566,184,17.86
567,108,17.36
568,452,17.12
569,396,16.1
570,565,11.38
571,359,0.4
