program,function,names,circuit,circuit_name,circuit_members,function_main_width,circuit_main_width,canonical_seed_words,canonical_seed_bytes,guarded_u8_seed_bytes_estimate,function_expansion_canonical,circuit_expansion_canonical,static_operation_sites,static_external_read_sites,preparation_arithmetic_sites,row_operation_sites,real_rows
ixvm,503,is_inductive_prop,94,ixvm_group_67,11,14,53,13,104,24,1.076923,4.076923,7,5,2,5,
ixvm,504,peel_n_alls_whnf,96,ixvm_group_69,4,15,35,11,88,24,1.363636,3.181818,8,5,1,5,
ixvm,505,check_prop_field_if_prop,72,ixvm_group_47,12,10,54,7,56,16,1.428571,7.714286,7,3,2,3,
ixvm,506,check_no_dep_data_field_if_prop,31,ixvm_group_23,14,14,45,9,72,16,1.555556,5.000000,8,4,2,4,
ixvm,507,peel_field_loop,94,ixvm_group_67,11,18,53,15,120,24,1.200000,3.533333,11,4,3,5,
ixvm,508,k_infer_proj,93,ixvm_group_66,5,44,99,43,344,56,1.023256,2.302326,18,12,2,12,
ixvm,509,k_ensure_sort,163,k_ensure_sort,1,10,10,9,72,16,1.111111,1.111111,3,3,0,3,
ixvm,510,k_check,164,k_check,1,7,7,6,48,16,1.166667,1.166667,4,2,0,2,
ixvm,511,nat_dec_le_addr_dec,71,ixvm_group_46,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,512,nat_dec_eq_addr_dec,71,ixvm_group_46,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,513,nat_dec_lt_addr_dec,71,ixvm_group_46,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,514,decidable_is_true_addr_dec,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,515,decidable_is_false_addr_dec,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,516,nat_le_of_ble_eq_true_addr_dec,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,517,nat_not_le_of_not_ble_eq_true_addr_dec,79,ixvm_group_54,7,3,10,2,16,16,1.500000,5.000000,33,1,32,1,
ixvm,518,nat_eq_of_beq_eq_true_addr_dec,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,519,nat_ne_of_beq_eq_false_addr_dec,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,520,bool_type_addr_dec,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,521,eq_refl_addr_dec,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,522,int_dec_eq_addr_dec,70,ixvm_group_45,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,523,int_dec_le_addr_dec,70,ixvm_group_45,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
ixvm,524,int_dec_lt_addr_dec,70,ixvm_group_45,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
