kind,id,worker,exec_s,bytes,pct_of_cap,cap_gib,proven_at_s
claim,77,3,191.9,24914081176,55,41.4,1832
join,123,1,50.9,16606847413,37,41.4,1812
join,111,0,48.3,15441438148,34,41.4,1792
join,130,2,45.6,15119441963,33,41.4,1874
claim,81,2,187.6,23771823399,53,41.4,1946
claim,80,3,179.9,23611128455,53,41.4,1895
claim,79,1,191.7,24819820243,55,41.4,1878
join,133,1,50.3,16408824835,36,41.4,1915
claim,82,1,179.3,23016107051,51,41.4,1977
claim,78,0,219.6,28092511526,63,41.4,1872
join,106,3,33.3,11859274337,26,41.4,1927
join,141,2,47.4,16781031080,37,41.4,1991
join,145,0,43.8,15552257189,34,41.4,1908
claim,83,0,255.3,30524370748,68,41.4,1993
join,127,0,42.4,13633095353,30,41.4,2031
claim,84,3,182.1,24561527764,55,41.4,1996
join,93,3,44.3,13799743054,30,41.4,2027
claim,89,1,127.4,19693944153,44,41.4,2021
join,117,2,36.7,12428357359,27,41.4,2021
claim,86,0,207.8,27938301758,62,41.4,2106
join,152,0,44.5,15634315404,35,41.4,2145
join,138,1,49.5,16895595458,37,41.4,2061
claim,85,3,226.1,28706259495,64,41.4,2104
claim,90,1,144.8,21977212306,49,41.4,2120
claim,88,2,120.7,18828340147,42,41.4,2072
join,147,2,44.6,14528292842,32,41.4,2108
claim,87,2,208.3,26884989342,60,41.4,2173
claim,92,3,142.3,19944415021,44,41.4,2156
join,157,0,47.2,16469473542,36,41.4,2184
claim,91,0,147.9,19633489150,44,41.4,2231
join,134,0,38.8,12504575486,28,41.4,2265
join,160,2,50.6,16074602620,36,41.4,2211
claim,94,1,159.1,21336959899,47,41.4,2176
join,118,3,40.9,12040514762,27,41.4,2185
claim,93,3,157.8,22554131452,50,41.4,2242
join,176,1,46.3,15240731521,34,41.4,2213
join,165,2,51.9,16955068486,38,41.4,2253
claim,95,1,150.3,21372373757,47,41.4,2274
claim,98,2,139.4,19453362786,43,41.4,2305
claim,96,3,169.3,22580445950,50,41.4,2302
claim,97,1,157.4,20989723663,47,41.4,2327
claim,101,2,111.0,15492049255,34,41.4,2349
join,142,0,38.9,12956286249,29,41.4,2298
join,154,3,46.4,15126846209,33,41.4,2337
claim,102,3,148.8,20374810084,45,41.4,2392
join,170,1,51.0,16729636158,37,41.4,2366
join,161,0,39.5,12975136926,29,41.4,2329
join,178,3,51.0,15558598997,34,41.4,2439
claim,100,0,149.5,21167854345,47,41.4,2381
claim,99,0,195.0,26316430987,59,41.4,2446
join,119,2,49.8,14572989962,32,41.4,2388
join,135,0,41.1,12821366865,28,41.4,2484
claim,103,3,164.7,22651566235,50,41.4,2499
join,167,1,46.8,15341810968,34,41.4,2403
claim,105,2,150.5,20468964480,45,41.4,2442
join,181,3,41.8,14024284612,31,41.4,2536
claim,106,1,172.1,22912893860,51,41.4,2465
claim,104,1,238.6,29713019668,66,41.4,2541
claim,107,2,149.1,20865231478,46,41.4,2498
join,148,0,37.6,12397275498,27,41.4,2514
join,190,1,43.4,14837978387,33,41.4,2574
join,187,3,45.0,15361625565,34,41.4,2578
join,162,2,36.0,12320606453,27,41.4,2540
join,201,2,41.3,13579990263,30,41.4,2570
join,171,1,36.0,12614892144,28,41.4,2605
join,120,1,72.3,19590680576,43,41.4,2649
claim,108,0,180.6,24221573363,54,41.4,2570
claim,109,2,184.7,24336159791,54,41.4,2632
join,194,3,48.1,15788999810,35,41.4,2615
claim,110,0,153.2,21132590197,47,41.4,2640
join,210,0,42.5,15406060756,34,41.4,2672
join,149,0,43.9,14061678267,31,41.4,2705
join,183,3,38.8,14389596440,32,41.4,2646
join,206,2,42.6,15667364969,35,41.4,2664
join,203,2,38.2,13270484027,29,41.4,2693
join,191,1,36.0,12436450046,27,41.4,2677
join,172,1,36.7,12649870971,28,41.4,2706
join,196,3,39.4,14786680834,33,41.4,2686
join,215,0,41.2,15776896607,35,41.4,2736
join,184,3,35.5,13293060981,29,41.4,2714
join,212,2,37.2,14597430739,32,41.4,2741
join,197,1,33.2,12876450458,28,41.4,2746
join,207,2,30.3,12190261134,27,41.4,2766
join,173,0,40.0,15308991262,34,41.4,2778
join,216,3,29.9,12684306242,28,41.4,2797
join,198,1,34.8,13528390349,30,41.4,2808
join,217,0,26.5,12418187570,27,41.4,2848
join,218,0,35.0,15255261214,34,41.4,2915
join,219,0,43.2,18521546112,41,41.4,2997
root,root,0,66.8,26856989193,60,41.4,3164
